number,segment,content,image_url,option_a,option_b,option_c,option_d,option_e,score_a,score_b,score_c,score_d,score_e,discussion,option_image_a,option_image_b,option_image_c,option_image_d,option_image_e
49,TIU,"Berikut adalah data siswa:
Nama
Nilai Bahasa Inggris
Gaji Orang Tua (Rp)
Rina
78
3.800.000
Dedi
72
4.100.000
Sari
85
4.000.000
Agus
68
3.900.000
Wati
90
3.700.000
Toni
80
4.200.000
Sebuah program beasiswa akan diberikan kepada siswa yang memenuhi syarat berikut:
-Nilai Bahasa Inggris minimal 75
-Gaji orang tua maksimal Rp 4.000.000
Siapakah siswa yang berhak mendapatkan beasiswa berdasarkan data di atas?",,"Dedi, Agus, Toni","Rina, Wati","Rina, Sari, Wati","Sari, Wati, Toni","Rina, Sari, Wati, Toni",5,0,0,0,0,,,,,,
50,TIU,"Berikut adalah nilai ujian masuk lima siswa yang mengikuti tes beasiswa pada tiga subtes: Matematika, Bahasa Inggris, dan IPA.
Nama
Matematika
Bahasa Inggris
IPA
Rina
88
70
80
Sari
72
80
85
Dedi
90
85
88
Wati
65
75
70
Budi
78
68
80
Untuk lolos ke tahap seleksi wawancara, peserta harus memenuhi nilai ambang batas sebagai berikut:
Matematika: 75, Bahasa Inggris: 70, IPA: 80.
Formasi yang dibutuhkan hanya untuk 1 orang, sehingga yang lanjut ke tahap wawancara adalah 3 kali formasi berdasarkan urutan nilai.
Maka siapakah yang lolos ke tahap wawancara?",,"Dedi, Sari, Budi","Rina, Dedi, Sari",Dedi dan Rina,Rina dan Budi,"Rina, Budi, Wati",5,0,0,0,0,,,,,,
51,TIU,"-16, 14, -2, 12, 10, ...",,-12,12,22,-24,23,5,0,0,0,0,,,,,,
52,TIU,"20, 21, 41, -20, 21, -41, -20, ...",,-61,-41,-21,20,21,5,0,0,0,0,,,,,,
53,TIU,"9, 9, 9, 6, 9, 3, ..., ...",,"9, 11","13, 17","19, 10","9, 0","11, 9",5,0,0,0,0,,,,,,
54,TIU,,,,,,,,,,,,,,,,,,
55,TIU,,,,,,,,,,,,,,,,,,
56,TIU,,,,,,,,,,,,,,,,,,
57,TIU,,,,,,,,,,,,,,,,,,
58,TIU,,,,,,,,,,,,,,,,,,
59,TIU,,,,,,,,,,,,,,,,,,
60,TIU,,,,,,,,,,,,,,,,,,
61,TIU,,,,,,,,,,,,,,,,,,
62,TIU,,,,,,,,,,,,,,,,,,
63,TIU,,,,,,,,,,,,,,,,,,
64,TIU,,,,,,,,,,,,,,,,,,
65,TIU,,,,,,,,,,,,,,,,,,
66,TKP,"Firda, petugas layanan di kantor pemerintah, melihat penyandang disabilitas kesulitan mengisi formulir bantuan sosial. Antrean panjang membuat pengunjung lain mulai tidak sabar. Sikap terbaik Firda adalah…",,Menyuruh ibu tersebut untuk menunggu giliran seperti warga lainnya agar tidak dianggap pilih kasih.,Menyuruh ibu tersebut untuk menunggu giliran seperti warga lainnya agar tidak dianggap pilih kasih.,"Menugaskan rekan kerja untuk melayani ibu tersebut secara khusus, sementara Anda melanjutkan melayani pengunjung lainnya.",Membantu ibu tersebut dengan cara membimbingnya secara singkat dan jelas agar ia dapat menyelesaikan urusannya tanpa menghambat pelayanan bagi pengunjung lain,"Memberikan formulir untuk dibawa pulang dan menyuruh ibu tersebut datang lagi setelah formulir diisi, agar tidak mengganggu proses pelayanan di tempat.",1,2,3,4,5,,,,,,
67,TKP,"Sari, petugas Disdukcapil, didatangi Pak Budi yang meminta percepatan pengurusan akta kelahiran dengan nada tinggi, mengeluh antrean panjang, dan mengancam akan melaporkannya jika tidak segera dibantu. Sikap Sari yang tepat adalah…",,"Meminta maaf dan menjelaskan bahwa ada prosedur dan antrian yang harus diikuti pelanggan, lalu memintanya menunggu giliran dengan sabar agar segera ditangani.",Meminta Pak Budi untuk tenang dan akan memanggil pihak keamanan jika ia tidak menurunkan nada bicaranya.,"Mengutamakan Pak Budi terlebih dahulu untuk menjaga kenyamanan dan keamanan para pelanggan lain, kemudian melanjutkan pelayanan pada warga lain.","Mengabaikan Pak Budi dan melanjutkan pelayanan pada warga lain, karena ia berbicara dengan nada tinggi yang tidak sopan.","Menyampaikan permohonan maaf atas ketidaknyamanannya, lalu menyarankan untuk kembali sore nanti saat antrian sudah mulai sepi agar dapat dilayani dengan optimal.",1,2,3,4,5,,,,,,
68,TKP,"Pak Indra, teknisi perusahaan air, sedang memperbaiki meteran di rumah pelanggan. Tetangga pelanggan meminta dipasangkan meteran baru tanpa melalui prosedur resmi, padahal sesuai aturan pemasangan harus dilaporkan terlebih dahulu. Tindakan yang sebaiknya dilakukan Pak Indra adalah…",,Mengatakan bahwa hal itu tidak bisa dilakukan karena tidak sesuai SOP yang berlaku,Menyampaikan bahwa itu ada prosedurnya dan tetap tersenyum ramah kepadanya,Menjelaskan prosedur pendaftarannya dan akan ikut memantau perkembangannya,Segera membantunya karena itu salah satu bentuk pelayanan yang maksimal,Menolak dengan halus dan berjanji akan membantu memasangkan jika nanti sudah masuk aduan secara resmi,1,2,3,4,5,,,,,,
69,TKP,"Hikmah, petugas perpustakaan universitas, melihat beberapa pengunjung berbicara terlalu keras sehingga mengganggu ketenangan dan kenyamanan lainnya. Tindakan yang sebaiknya dilakukan adalah…",,Menegur siapa saja yang membuat kericuhan di area perpustakaan dan mengingatkan untuk tidak mengulangi nya lagi jika tidak ingin dikeluarkan,Membuat aturan yang berisi larangan untuk mengganggu dan menimbulkan kericuhan beserta sanksinya,Membuat aturan yang menyatakan larangan berbicara di area perpustakaan,Meminta dengan sopan bagi yang ketahuan berbicara untuk keluar dari perpustakaan,Menutup perpustakaan sementara waktu sampai situasi kembali kondusif,1,2,3,4,5,,,,,,
70,TKP,"Ihsan adalah CPNS baru dan bekerja sebagai staf administrasi di kantor pemerintahan. Pada suatu hari, atasannya meminta untuk mengubah data tertentu dalam laporan tahunan yang akan diajukan ke publik. Menurut atasan, perubahan ini tidak signifikan dan tidak akan ada yang menyadarinya. Apa yang akan Anda lakukan?",,Mengikuti instruksi karena itu merupakan suatu bentuk kepatuhan terhadap atasan.,Mencoba menolak secara halus dan mencari solusi lainnya bersama atasan.,Segera melaporkan atasan kepada pihak berwenang karena tindakan ini merupakan pelanggaran etika.,Mencari tahu lebih dulu alasan di balik perubahan yang diminta oleh atasan.,Menolak permintaan tersebut dan menjelaskan pentingnya kejujuran dalam penyusunan laporan.,1,2,3,4,5,,,,,,
71,TKP,"Andi, karyawan sebuah perusahaan, mendapat akses perangkat lunak kolaborasi tim berbasis cloud. Meski sudah mengikuti pelatihan, ia masih nyaman memakai cara lama seperti email berulang dan rapat fisik yang memakan waktu. Yang sebaiknya dilakukan adalah…",,Meminta pelatihan tambahan untuk memahami perangkat lunak baru tersebut agar bisa mulai menggunakannya.,Tetap menggunakan metode lama untuk komunikasi dan berbagi dokumen karena sudah nyaman dengan cara tersebut.,Mencoba menggunakan perangkat lunak baru untuk komunikasi internal meskipun belum sepenuhnya memahami cara kerjanya.,"Mengajak rekan-rekannya untuk tetap menggunakan email dan rapat fisik saja, karena mereka semua sudah terbiasa dengan metode tersebut.",Menggabungkan penggunaan perangkat lunak baru dengan metode lama agar transisi dapat terjadi meskipun tidak bisa cepat.,1,2,3,4,5,,,,,,
72,TKP,"Gio, pemimpin komunitas dengan beragam latar budaya dan agama, menghadapi maraknya hoaks yang memicu kebencian dan memperuncing ketegangan antarwarga. Ia merasa perlu bertindak untuk melawan hoaks dan menjaga kerukunan. Tindakan yang sebaiknya dilakukan adalah…",,Mengumpulkan warga untuk memberikan edukasi tentang cara mengenali informasi hoaks dan pentingnya memverifikasi sumber informasi.,Meminta warga untuk mengabaikan hoaks tersebut dan fokus pada kegiatan positif lain yang dapat meningkatkan kebersamaan warga.,Mengeluarkan pernyataan publik yang menolak hoaks tersebut dan menyerukan kepada semua pihak untuk tidak menyebarluaskannya.,Meminta pihak berwenang untuk menindak semua penyebar hoaks agar tidak mengganggu ketentraman masyarakat.,Mendorong warga untuk mengadukan informasi yang mereka anggap sebagai hoaks tanpa melakukan verifikasi terlebih dahulu.,1,2,3,4,5,,,,,,
73,TKP,"Raka bekerja di sebuah perusahaan yang baru saja membuka cabang di daerah dengan budaya berbeda dari daerah asalnya. Dalam pertemuan dengan klien lokal, salah satu anggota timnya menggunakan contoh yang relevan di daerah asal, namun tidak dikenal oleh klien, sehingga klien merasa kurang dipahami dan dihargai. Raka menyadari pendekatan ini bisa berdampak negatif pada hubungan jangka panjang. Yang sebaiknya ia lakukan adalah…",,Memberitahu anggota tim bahwa mereka harus menggunakan contoh yang lebih umum dan dapat dipahami oleh semua orang di rapat berikutnya.,Mengadakan pelatihan untuk seluruh anggota tim tentang sensitivitas budaya dan cara berkomunikasi yang lebih sesuai dengan budaya lokal.,Menyampaikan kepada klien bahwa hal ini hanya kesalahpahaman kecil dan tidak perlu diperbesar.,Meminta anggota tim untuk meminta maaf kepada klien dan memastikan bahwa kesalahan tersebut tidak akan terulang.,Mengganti anggota tim yang bersangkutan dalam proyek ini dengan orang yang lebih paham tentang budaya lokal.,1,2,3,4,5,,,,,,
74,TKP,"Anda adalah kepala daerah di kota yang berkembang pesat. Terjadi ketegangan antara pedagang pasar tradisional dan PKL yang berdagang di sekitar pasar, mengganggu akses jalan utama dan memicu persaingan tidak sehat. Situasi memanas hingga terjadi adu mulut, dan masyarakat khawatir akan terjadi kerusuhan. Tindakan yang sebaiknya Anda lakukan adalah…",,Menyiapkan kebijakan yang tegas dan memberi sanksi kepada para PKL yang melanggar aturan tata kota.,Memanggil perwakilan dari PKL dan pedagang pasar tradisional serta memediasi pertemuan keduanya untuk membahas duduk perkara,Mengadakan patroli rutin di sekitar pasar untuk menghindari potensi kericuhan yang lebih besar.,Memberikan sosialisasi kepada masyarakat tentang pentingnya menjaga ketertiban di ruang publik.,Mencari alternatif lokasi bagi para PKL agar tidak mengganggu aktivitas di sekitar pasar tradisional.,1,2,3,4,5,,,,,,
75,TKP,"Rina dan Toni bekerja di perusahaan teknologi. Divisi mereka menghadapi masalah teknis serius yang menyebabkan keterlambatan proyek. Sebagai manajer, Toni ingin memecahkan masalah secara objektif tanpa menimbulkan gesekan di tim. Tindakan yang sebaiknya dilakukan Toni adalah…",,"Meminta saran dari semua anggota tim, melakukan revisi secara menyeluruh, dan mengajak tim untuk menerapkan rencana bersama yang disepakati.","Meminta saran dari anggota tim, lalu segera membuat keputusan yang cepat untuk segera dapat diterapkan dan dipatuhi secara bersama oleh seluruh anggota tim.","Meminta masukan dari anggota tim, melakukan revisi hanya pada aspek tertentu, dan bersama-sama melaksanakan rencana yang telah disepakati.","Menunda pengambilan keputusan karena masalah ini lebih rumit daripada yang diperkirakan sebelumnya, dan perlu banyak waktu untuk mempertimbangkannya.",Menegaskan bahwa semua anggota tim harus mengikuti kebijakan yang ada dan menyelesaikan masalah sesuai arahan manajemen.,1,2,3,4,5,,,,,,
76,TKP,"Ardi baru bergabung sebagai koordinator sebuah proyek lintas departemen dengan kepentingan berbeda. Di rapat pertama, ia melihat beberapa anggota mendominasi diskusi, sementara yang lain lebih banyak diam dan belum memahami peran serta tujuan proyek. Langkah awal Ardi agar semua anggota dapat berkontribusi efektif adalah…",,"Mendorong setiap anggota untuk terbiasa mencoba menyampaikan pendapatnya, meskipun belum terlalu memahami proyek secara keseluruhan.","Membiarkan anggota yang mendominasi untuk berbicara lebih banyak, agar forum selalu hidup dan ramai pendapat.",Menjelaskan kembali tujuan dan peran masing-masing anggota serta mengendalikan diskusi dari dominasi sebagian anggota.,Memberikan waktu tambahan kepada anggota yang belum banyak berkontribusi agar mempersiapkan diri sebelum menyampaikan pendapat.,Membagi tim menjadi kelompok yang lebih kecil sehingga diskusi dapat menjadi lebih fokus dan efisien.,1,2,3,4,5,,,,,,
77,TKP,"Anda diminta atasan membentuk tim untuk menyelesaikan proyek teknologi dengan deadline singkat. Meski merasa butuh waktu lebih, atasan tetap menuntut selesai tepat waktu. Tindakan yang sebaiknya Anda lakukan adalah…",,Meminta izin untuk mundur dari proyek tersebut karena sudah memprediksi tidak sanggup menyelesaikannya,Menambah lagi jumlah rekan kerja anda dalam kelompok kerja karena pekerjaan ini harus diselesaikan secepatnya,Membuat sebuah program atau aplikasi yang dapat mendukung kecepatan bekerja dan mengkomunikasikan hal tersebut ke kelompok anda,Melakukan rapat singkat ke kelompok kerja untuk membahas cara mempercepat pekerjaan ini karena percaya dengan kelompok kerja yang sudah dipilih,Mempelajari tugas ini terlebih dahulu kemudian kembali berdiskusi ke atasan apakah bisa atau tidak melakukan pekerjaan ini dalam waktu yang sangat singkat,1,2,3,4,5,,,,,,
78,TKP,"Andre mengikuti pelatihan perangkat lunak baru secara online, namun kesulitan membagi waktu antara pelatihan dan pekerjaan rutin. Tindakan yang sebaiknya Andre lakukan adalah…",,"Fokus mengikuti pelatihan terlebih dahulu, lalu menyelesaikan pekerjaannya setelah pelatihan selesai meskipun harus lembur.",Menunda pelatihan dan fokus menyelesaikan pekerjaan yang menjadi prioritas.,Mengatur jadwal sedapat mungkin agar bisa mengikuti pelatihan dan tetap selesaikan pekerjaan secara bertahap.,Meminta pertimbangan dari atasan terkait waktu penyiapan pekerjaannya agar saat ini ia bisa fokus penuh pada pelatihan.,"Menyelesaikan semua pekerjaan terlebih dahulu, lalu mengikuti pelatihan lewat rekaman setelah jam kerja.",1,2,3,4,5,,,,,,
79,TKP,"Eman menerima pesan berantai di grup media sosial kantor dari temannya. Pesan itu berisi ajakan untuk menyebarkan himbauan menentang pemerintahan yang dianggap tidak memiliki visi jelas, dan meminta untuk diteruskan ke grup lain. Beberapa rekan kerja sudah membagikannya tanpa mengecek kebenarannya. Tindakan yang sebaiknya dilakukan oleh Eman adalah…",,Membiarkan pesan tersebut beredar karena setiap orang berhak berpendapat.,Segera membagikan pesan tersebut untuk mengikuti anjuran dan semakin banyak orang lain yang mengetahuinya dalam rangka mewujudkan demokrasi.,Mengingatkan rekan tersebut lewat pesan pribadi bahwa pesan yang dikirimkan berbahaya dan menasehatinya agar segera mengklarifikasi hal tersebut di grup.,Segera melaporkan pesan tersebut kepada pimpinan kantor agar dapat diambil tindakan lebih lanjut terkait rekan yang bersangkutan.,Mengingatkan rekan-rekannya di grup untuk tidak sembarangan menyebarkan pesan tanpa mengecek isinya dan memastikan dahulu kebenarannya.,1,2,3,4,5,,,,,,
80,TKP,"Khairul, kepala bagian IT, menghadapi gangguan server saat jam sibuk akibat trafik tinggi yang menyebabkan overload. Tim IT sedang memperbaiki masalah, namun sebagian karyawan mendesak mematikan server sementara, sementara lainnya ingin tetap menjalankannya meski lambat. Sikap yang sebaiknya diambil Khairul adalah…",,Mematikan server secara keseluruhan sementara waktu agar tim IT bisa memperbaiki masalah tanpa harus mengalami gangguan.,Membiarkan server tetap berjalan meskipun dengan kondisi terbatas sambil mencari solusi cepat yang dapat mengurangi trafik.,Menyampaikan kepada seluruh pengguna untuk berhenti menggunakan sistem sementara waktu agar server tidak overload.,Mengadakan pertemuan darurat dengan tim IT seluruhnya untuk mengevaluasi penyebab overload dan membuat rencana jangka panjang.,Meminta penambahan kapasitas server kepada atasan dengan segera tanpa harus mengurangi tekanan pada sistem.,1,2,3,4,5,,,,,,
81,TKP,Laras merupakan manager hotel yang berlokasi di pusat kota. Hotel tersebut baru saja mendapatkan complaint dari pelanggan karena kamar yang disediakan tidak terlalu bersih serta makanan yang kurang enak. Para pengunjung memberikan komentar langsung di akun sosial media hotel. Maka yang Laras lakukan adalah.....,,Mengadakan rapat dengan tim kebersihan dan dapur untuk mengevaluasi masalah dan mencari solusi.,"Menyusun rencana peningkatan layanan, seperti pelatihan staf untuk menjaga kualitas kebersihan dan rasa makanan, lalu mempromosikan perubahan tersebut di media sosial.",Meminta maaf kepada pelanggan dan akan meningkatkan layanan hotel serta memberikan diskon kepada pengunjung untuk kedatangan berikutnya.,Menunggu review lainnya dari pengunjung lain karena bisa jadi yang memberikan komentar adalah kompetitor bisnis.,Memecat beberapa staff yang gagal dalam memberikan pelayanan terbaik.,1,2,3,4,5,,,,,,
82,TKP,Anda merupakan salah satu tim panitia acara seminar Internasional yang bertugas untuk menjadi LO (Liaison Officer). Anda mendapatkan tugas untuk mengarahkan tamu yang berasal dari beberapa negara tetangga. Anda diminta oleh panitia untuk menjadi LO yang aktif agar tamu mendapatkan kepuasan terhadap pelayanan yang diberikan. Maka sebaiknya yang anda lakukan adalah......,,Menunggu tamu di lokasi acara sambil memastikan semua informasi acara sudah siap diberikan begitu mereka tiba.,"Menghubungi tamu sebelum acara dan menanyakan kebutuhan khusus mereka, serta mendampingi selama kegiatan.",Menyambut tamu dengan ramah saat tiba di lokasi dan menawarkan bantuan terkait transportasi serta informasi acara.,"Memastikan seluruh kebutuhan tamu telah disiapkan, serta mendampingi mereka selama acara berlangsung.",Menyediakan booklet panduan acara yang detail dan mendistribusikannya ke tamu untuk membantu mereka memahami acara dengan lebih mudah.,1,2,3,4,5,,,,,,
83,TKP,"Anda berasal dari kampung dan kini sedang berkuliah di kota. Selama proses pembelajaran, Anda merasakan kesulitan beradaptasi, terutama karena tidak ada satu pun teman sekelas yang ingin bekerja sama dalam kelompok dengan Anda. Mereka menganggap Anda sangat pendiam dan sulit memahami materi. Maka sebaiknya sikap Anda adalah…..",,"Mencari teman sekelas yang juga kesulitan beradaptasi dan bersama-sama membentuk kelompok belajar, sehingga Anda bisa saling mendukung.",Aktif dikelas dengan strategi sebelum pembelajaran Anda membaca materi agar mudah berdiskusi dengan rekan lainnya.,Menyampaikan kepada dosen tentang kesulitan yang Anda alami dan meminta bantuan untuk mendapatkan teman kelompok yang lebih suportif.,"Berusaha untuk berbicara lebih aktif dalam kelas meskipun merasa canggung, agar teman-teman sekelas mulai mengenali Anda.",Mengambil kursus tambahan di luar jam kuliah untuk memperdalam pemahaman materi dan meningkatkan kepercayaan diri Anda.,1,2,3,4,5,,,,,,
84,TKP,"Anda memiliki rekan kerja yang aktif memberi ide kreatif saat diskusi, tetapi saat pelaksanaan kegiatan ia tidak menjalankan tugasnya dan acuh terhadap tanggung jawab. Akibatnya, Anda harus mengerjakan tugas tersebut sendirian. Sikap Anda yang sebaiknya adalah…",,Mengganggap kondisi tersebut adalah hal yang wajar dan setiap anggota tim harus bisa saling melengkapi satu sama lain.,Memberikan teguran langsung kepada rekan kerja dan mengingatkan untuk lebih bertanggung jawab terhadap tugasnya.,Melaporkan perilaku rekan kerja kepada atasan agar bisa mendapatkan tindakan lebih lanjut.,Mengajak diskusi untuk menanyakan kendala yang dihadapi serta mencari solusi bersama.,Mengambil alih tugas tersebut dan tetap bersikap profesional tanpa mempersoalkan perilaku rekan kerja.,1,2,3,4,5,,,,,,
85,TKP,"Azriel, CPNS baru di sebuah kementerian, diwajibkan membuat SKP sebagai syarat pelantikan menjadi PNS, namun belum memahami cara mengisinya. Sebagai rekan kerja, sikap Anda yang sebaiknya adalah…",,Memberikan panduan tertulis kepada Azriel agar Ia bisa mempelajarinya.,Mengarahkan Azriel untuk bertanya kepada atasan langsung mengenai cara pengisian SKP.,Memberikan waktu luang untuk menjelaskan langkah-langkah pengisian SKP secara rinci.,Memberikan contoh SKP yang telah Anda buat kepada Azriel agar Ia tinggal menyesuaikan dengan bagian-bagian yang belum Ia pahami,Menyarankan Azriel untuk mengikuti pelatihan atau workshop terkait pengisian SKP.,1,2,3,4,5,,,,,,
86,TKP,Daniel tergabung dalam organisasi kepemudaan Provinsi. Ia menyarankan kepada Anda sebagai ketua asosiasi pemuda provinsi untuk melaksanakan Kerjasama dengan BNPT dalam mencegah tindakan radikalisme melalui kegiatan seminar wawasan kebangsaan. Maka sebaiknya sikap Anda adalah….,,"Mendukung dan menyetujui usulan Daniel, lalu mengadakan rapat dengan anggota asosiasi untuk membahas detail kerjasama dan pelaksanaan seminar.",Menolak usulan tersebut karena merasa bahwa organisasi pemuda harus fokus pada kegiatan lain yang lebih mendesak dan relevan dengan kebutuhan masyarakat saat ini.,"Menerima usulan Daniel, tetapi meminta agar seminar tersebut dilakukan tanpa melibatkan BNPT dan dikelola secara mandiri oleh asosiasi pemuda.","Menyepakati usulan Daniel, namun meminta agar seminar juga mencakup topik tentang hak asasi manusia dan toleransi untuk menciptakan pemahaman yang lebih luas.",Mengajukan pertanyaan kepada Daniel dan anggota asosiasi lainnya untuk menggali lebih dalam mengenai rencana dan tujuan seminar sebelum mengambil keputusan.,1,2,3,4,5,,,,,,
87,TKP,"Anda merupakan seorang pensiunan PNS. Anda sangat senang untuk mengisi waktu dengan berkebun. Namun, Anda diminta oleh warga untuk menjadi kepala kampung. Maka sebaiknya yang anda lakukan adalah......",,"Menolak secara halus dan berterima kasih atas kepercayaan warga, dengan alasan ingin menikmati masa pensiun dengan tenang tanpa terlibat dalam kegiatan formal, namun tetap bersedia membantu kampung dalam kegiatan sosial.",Menerima permintaan warga dengan syarat bahwa Anda akan melibatkan lebih banyak generasi muda dalam melaksanakan program kampung untuk memastikan kesinambungan pembangunan kampung.,Menerima langsung tawaran tersebut sebagai bentuk pengabdian kepada masyarakat dan berjanji akan menggunakan pengalaman sebagai PNS untuk membangun kampung dengan lebih baik.,"Meminta waktu untuk berpikir dan berkonsultasi dengan keluarga serta tokoh masyarakat sebelum mengambil keputusan, untuk memastikan bahwa pilihan yang diambil adalah yang terbaik bagi semua pihak.","Menolak secara tegas dengan menjelaskan bahwa menjadi kepala kampung membutuhkan energi dan fokus yang mungkin tidak lagi Anda miliki, tetapi menawarkan diri untuk mendukung dari belakang sebagai penasihat.",1,2,3,4,5,,,,,,
88,TKP,"Hilda, kepala sub bagian umum dan kepegawaian, memiliki atasan perfeksionis yang memeriksa laporan dan program secara sangat teliti, berbeda dengan atasan sebelumnya yang lebih memberi kepercayaan. Sikap Hilda yang sebaiknya adalah…",,Menyampaikan kepada pimpinannya bahwa ia merasa lebih nyaman dengan pendekatan kepemimpinan yang memberikan kepercayaan penuh tanpa memeriksa secara detail.,Mengabaikan perbedaan gaya kepemimpinan dan tetap bekerja sesuai dengan tugas dan tanggung jawab.,"Berusaha menyesuaikan diri dengan tuntutan pimpinannya saat ini, sambil secara bertahap memberikan saran untuk lebih mendelegasikan tanggung jawab.",Mengikuti gaya kepemimpinan pimpinannya saat ini dan memastikan setiap laporan serta program disiapkan dengan sangat detail agar sesuai dengan harapan.,Mengikuti gaya kepemimpinan yang baru dan memberikan usul untuk tidak terlalu detail jika pimpinan meminta masukan.,1,2,3,4,5,,,,,,
89,TKP,"Amelia mendapat tugas mengelola data keuangan dengan software baru di kantornya, namun ia kesulitan karena belum memahami cara kerjanya. Sikap Amelia yang sebaiknya adalah…",,"Mengkombinasikan penggunaan software terbaru dan lama, agar dapat menyelesaikan laporan tepat waktu.",Mencari panduan atau tutorial mengenai software tersebut secara mandiri dan mencoba memahami cara menggunakannya.,"Menghubungi rekan kerja yang lebih paham teknologi untuk meminta bantuan segera, agar tugasnya bisa cepat diselesaikan.",Melaporkan masalah ini kepada manajer dan meminta perpanjangan waktu penyelesaian laporan  untuk mempelajari software lebih lanjut.,"Mengabaikan kesulitan tersebut dan mencoba menyelesaikan tugas tanpa menggunakan software baru, meskipun hasilnya tidak sesuai harapan.",1,2,3,4,5,,,,,,
90,TKP,"Dalam rapat desa membahas keamanan desa, pengurus kampung ingin perwakilan mendapat kompensasi dari dana desa. Pihak desa menolak karena dianggap inisiatif yang tidak bisa dianggarkan. Suasana rapat memanas. Jika Anda sebagai ketua forum, Anda akan…",,Meminta pendapat dari para pengurus kampung satu per satu untuk memberikan ruang diskusi yang lebih terstruktur agar semua pandangan dapat didengar secara baik.,Mengingatkan semua pihak tentang pentingnya menjaga ketertiban dalam forum dan mencoba merumuskan solusi yang bersifat kompromis berdasarkan aturan yang berlaku.,Meminta jeda sementara untuk meredakan suasana dan memberikan kesempatan kepada setiap pihak untuk meninjau ulang argumen mereka.,Menjelaskan peraturan terkait penggunaan dana desa secara lebih rinci agar semua pihak memahami keterbatasan anggaran.,Menyudahi rapat lebih awal dan mengusulkan rapat lanjutan dengan mengundang ahli terkait penggunaan anggaran desa dan keamanan.,1,2,3,4,5,,,,,,
91,TKP,"Teman Anda sebagai bendahara hanya hadir saat pembayaran gaji atau membuat laporan akhir bulan, jarang terlibat dalam kegiatan harian yang butuh pengelolaan dana. Sikap Anda sebagai rekan kerja adalah…",,Menghubungi bendahara jika membutuhkan dana untuk kebutuhan kantor.,Meminta dukungan kepada rekan kerja lain agar membantu mengingatkan bendahara untuk hadir sesuai jam kantor.,Berdiskusi secara langsung tentang pentingnya kehadirannya dalam kegiatan harian serta dampak kehadirannya terhadap tim.,Melaporkan masalah ini kepada atasan agar tindakan lebih lanjut diambil terhadap bendahara tersebut.,Mengingatkan dan mengundangnya untuk ikut serta dalam kegiatan yang membutuhkan dana.,1,2,3,4,5,,,,,,
92,TKP,"Anda sebagai kepala divisi kepegawaian telah menempatkan siswa magang sesuai kapasitas, namun pimpinan meminta tambahan siswa dari sekolah dekat rumahnya. Anda khawatir jumlah berlebih akan membuat magang tidak efektif. Sikap Anda adalah…",,Menolak langsung permintaan pimpinan dengan alasan divisi sudah penuh dan tidak bisa menerima siswa magang tambahan.,Menerima permintaan pimpinan tanpa mempertimbangkan kondisi di lapangan dan mendistribusikan siswa tersebut ke divisi mana pun yang tersedia.,"Menginformasikan kepada pimpinan tentang kondisi kapasitas divisi yang sudah maksimal, serta menawarkan alternatif untuk menunda penerimaan siswa tambahan hingga periode magang berikutnya.",Meminta pengertian kepada pimpinan karena setiap divisi sudah dipenuhi oleh mahasiswa magang dari sekolah lain.,"Mengusulkan pengurangan jumlah siswa magang yang sudah ada untuk memberi ruang bagi siswa dari sekolah dekat tempat tinggal pimpinan, guna menjaga hubungan baik dengan pimpinan.",1,2,3,4,5,,,,,,
93,TKP,"Diana sedang melaksanakan kuliah semester 1. Dosen menuntutnya untuk mengakses materi pada platform e-learning serta mengerjakan tugas sesuai dengan waktu yang telah ditentukan. Diana tidak terbiasa membuka e-learning dan belum memahami fitur-fiturnya. Alhasil, Ia sering telambat mengumpulkan tugas. Maka sebaiknya yang Diana lakukan adalah.....",,Meminta bantuan teman untuk mengunduh materi dan mengumpulkan tugas melalui e-learning bersama-sama,Menghubungi dosen melalui email dan meminta waktu tambahan untuk mengerjakan tugas di e-learning,Mempelajari panduan penggunaan e-learning dan berlatih secara mandiri agar lebih lancar dalam mengakses serta mengumpulkan tugas tepat waktu,Menggunakan platform belajar lain seperti Google Drive untuk menyimpan tugas sebelum diunggah ke e-learning,Mencari aplikasi lain yang lebih sederhana untuk mengerjakan tugas dan menyampaikan hasilnya kepada dosen,1,2,3,4,5,,,,,,
94,TKP,Anda sebagai ketua panitia sedang menyelesaikan presentasi Dies Natalis yang akan dimulai 1 jam lagi. Rekan tim meminta presentasi dikoordinasikan dulu dengan ketua divisi lain. Sikap Anda adalah…,,Mengabaikan permintaan rekan Anda dan segera menyelesaikan presentasi sendiri untuk memastikan acara tetap berjalan sesuai jadwal.,Berkoordinasi dengan para ketua divisi melalui telepon untuk meminta penjelasan singkat dan melakukan penyesuaian dalam presentasi berdasarkan masukan tersebut.,"Menunda presentasi agar ada cukup waktu untuk berkoordinasi dengan ketua divisi, meskipun ini mungkin mengganggu rencana jadwal acara.","Meminta rekan Anda untuk menjelaskan poin penting yang Ia ketahui dari rencana kegiatan setiap divisi, kemudian melakukan revisi cepat berdasarkan input tersebut.","Menyampaikan kepada rekan Anda bahwa tidak ada cukup waktu untuk koordinasi saat ini, tetapi Anda akan memastikan semua ketua divisi diinformasikan tentang isi presentasi setelah acara.",1,2,3,4,5,,,,,,
