number,segment,content,option_a,option_b,option_c,option_d,option_e,score_a,score_b,score_c,score_d,score_e,discussion
71,TKP,Seorang warga difabel datang ke kantor Anda yang belum memiliki fasilitas ramah difabel. Yang Anda lakukan ...,Melayaninya seperti biasa tanpa bantuan khusus,Meminta petugas lain untuk mengantarnya,"Secara proaktif menghampiri, memberikan bantuan yang dibutuhkan, dan melaporkan kebutuhan fasilitas ramah difabel kepada atasan",Menyarankan agar datang bersama pendamping lain kali,Memproses berkasnya terlebih dahulu agar cepat selesai,2,3,5,1,4,Pelayanan inklusif menuntut ASN proaktif membantu warga berkebutuhan khusus dan sekaligus menginisiasi perbaikan infrastruktur untuk aksesibilitas.
72,TKP,Anda menerima keluhan dari warga melalui media sosial tentang pelayanan di instansi Anda. Respons terbaik Anda ...,Mengabaikan karena bukan kanal resmi,Membalas dengan nada defensif untuk membela instansi,"Merespons dengan sopan, mengucapkan terima kasih atas masukannya, dan menindaklanjuti keluhan tersebut",Menghapus komentar agar tidak dilihat orang lain,Membalas dengan memberitahu jam kerja dan nomor telepon kantor,1,2,5,3,4,Merespons keluhan di media sosial dengan sopan dan solutif menunjukkan keterbukaan instansi terhadap masukan serta komitmen perbaikan pelayanan.
73,TKP,Seorang warga membawa berkas yang sudah ditolak beberapa kali karena tidak sesuai format. Ia terlihat frustrasi dan bingung. Sikap Anda ...,Menolak lagi dengan tegas agar ia memahami kesalahannya,Menerima berkasnya meskipun salah format demi menghindari konflik,"Duduk bersama warga tersebut, menunjukkan kesalahan pada berkas, dan membimbing cara pengisian yang benar",Menyuruhnya ke biro jasa untuk bantuan pengisian,Memberikan nomor telepon untuk konsultasi di lain waktu,2,1,5,3,4,"Membimbing langsung warga yang kesulitan menunjukkan pelayanan prima: sabar, empatik, dan berorientasi solusi."
74,TKP,Anda baru dipindahtugaskan ke unit kerja baru dengan budaya kerja yang sangat berbeda. Yang Anda lakukan ...,Menunggu rekan kerja mengajak berinteraksi,Berfokus pada pekerjaan sendiri dulu,Secara proaktif memperkenalkan diri dan belajar memahami tugas serta fungsi rekan-rekan baru,Hanya bergaul dengan yang sejabatan,Meminta pindah kembali ke unit lama,2,3,5,1,4,Proaktif memperkenalkan diri dan memahami lingkungan baru menunjukkan kemampuan networking dan adaptasi yang tinggi.
75,TKP,"Dalam sebuah rapat lintas divisi, terjadi perbedaan pendapat yang cukup tajam. Sikap Anda ...",Diam saja agar tidak terlibat konflik,Membela divisi Anda tanpa mempertimbangkan pendapat lain,"Mendengarkan semua pendapat, mencari titik temu, dan mengusulkan solusi yang mengakomodasi kepentingan bersama",Mengikuti pendapat mayoritas tanpa memberikan masukan,Meninggalkan rapat jika suasana terlalu panas,2,1,5,3,4,Kemampuan memediasi dan mencari solusi win-win dalam rapat lintas divisi menunjukkan jejaring kerja dan kolaborasi yang kuat.
76,TKP,"Rekan kerja dari divisi lain meminta bantuan Anda untuk menyelesaikan proyek mereka, padahal Anda juga memiliki deadline sendiri. Anda ...",Menolak secara tegas karena bukan tanggung jawab Anda,Mengiyakan meskipun pekerjaan sendiri terbengkalai,"Menawarkan bantuan pada aspek yang bisa dikerjakan tanpa mengabaikan tugas utama, dan mengkomunikasikan keterbatasan waktu",Menyuruhnya meminta tolong orang lain,Melaporkan ke atasan bahwa divisi lain mengganggu pekerjaan Anda,2,1,5,3,4,Kolaborasi antar divisi penting namun harus dikomunikasikan secara terbuka mengenai kapasitas. Ini menunjukkan kemampuan jejaring kerja yang matang.
77,TKP,Atasan Anda memberikan tugas yang menurut Anda kurang tepat metodenya. Sikap Anda ...,Menolak tugas tersebut secara langsung,Mengerjakan sesuai instruksi tanpa memberikan masukan,"Menyampaikan pandangan alternatif dengan data pendukung secara sopan, namun tetap menghormati keputusan akhir atasan",Mengeluh kepada rekan kerja tentang metode atasan,Mengerjakan dengan cara sendiri tanpa memberitahu atasan,2,3,5,1,4,Menyampaikan ide konstruktif kepada atasan dengan cara yang sopan menunjukkan keberanian profesional sekaligus tetap menghormati hierarki.
78,TKP,Anda ditugaskan memimpin tim yang anggotanya berasal dari berbagai divisi dengan keahlian berbeda. Langkah pertama Anda ...,Langsung membagi tugas tanpa diskusi,Membiarkan anggota bekerja sesuai keinginan masing-masing,"Mengadakan pertemuan awal untuk saling mengenal, menentukan peran berdasarkan keahlian, dan menyepakati target bersama",Mengerjakan semua tugas penting sendiri agar hasilnya bagus,Meminta atasan menentukan pembagian tugas,2,1,5,3,4,"Pertemuan awal untuk alignment menunjukkan kemampuan leadership dan jejaring kerja: membangun hubungan, memahami keahlian, dan menetapkan tujuan bersama."
79,TKP,Seorang kolega Anda mengeluhkan beban kerja yang terlalu berat sehingga menurunkan kinerjanya. Anda ...,Membiarkannya karena itu masalah pribadinya,Menyuruhnya langsung mengadu ke atasan,"Menawarkan bantuan, mendengarkan keluhannya, dan jika perlu membantu menyusun prioritas pekerjaan",Menganggap ia tidak kompeten,Memanfaatkan situasi untuk menonjolkan kinerja Anda sendiri,2,3,5,1,4,Membantu rekan kerja yang kesulitan menunjukkan empati dan membangun jejaring kerja yang solid. Ini juga berkontribusi pada produktivitas tim secara keseluruhan.
80,TKP,Anda perlu data dari instansi lain untuk menyelesaikan laporan. Namun pihak instansi tersebut tidak responsif. Yang Anda lakukan ...,Menunggu sampai mereka merespons,Membuat laporan tanpa data tersebut,Menghubungi secara aktif melalui berbagai kanal resmi dan jika perlu melakukan kunjungan koordinasi langsung,Melaporkan ke atasan bahwa instansi lain tidak kooperatif,Menggunakan data lama sebagai pengganti,2,1,5,3,4,Inisiatif multi-kanal dan koordinasi langsung menunjukkan kemampuan networking dan komitmen terhadap kualitas hasil kerja.
81,TKP,"Dalam forum diskusi antar instansi, rekan dari instansi lain mengkritik program yang Anda jalankan. Sikap Anda ...",Langsung membela diri dan membalas kritik,Diam saja dan mengabaikan kritiknya,"Menerima kritik dengan terbuka, meminta penjelasan lebih detail, dan menjadikannya bahan evaluasi",Merasa tersinggung dan memutus komunikasi,Melapor ke atasan agar instansi tersebut diberi peringatan,2,1,5,3,4,Keterbukaan terhadap kritik dan kemampuan menjadikannya bahan perbaikan menunjukkan kedewasaan profesional dan kekuatan jejaring kerja.
82,TKP,Di kantor Anda ada rekan kerja dengan kebiasaan budaya yang berbeda saat makan siang. Beberapa rekan menganggapnya aneh. Sikap Anda ...,Ikut mengomentari kebiasaannya,Menghindari makan bersama dengannya,Menghargai perbedaan budayanya dan mengajak rekan lain untuk bersikap toleran,Memintanya menyesuaikan kebiasaan dengan mayoritas,Tidak peduli asalkan tidak mengganggu Anda,2,1,5,3,4,Menghargai keberagaman dan mengajak toleransi mencerminkan nilai Bhinneka Tunggal Ika dalam kehidupan kerja sehari-hari.
83,TKP,Anda ditugaskan ke daerah dengan mayoritas penduduk berbeda agama dan budaya dengan Anda. Yang pertama kali Anda lakukan ...,Mencari komunitas yang satu agama untuk tempat berlindung,Membatasi interaksi hanya untuk urusan pekerjaan,Mempelajari adat istiadat dan budaya setempat untuk membangun hubungan baik dengan masyarakat,Meminta dipindahkan ke daerah yang lebih sesuai,Menjalankan tugas tanpa berinteraksi dengan penduduk lokal,2,1,5,3,4,"Mempelajari budaya lokal menunjukkan adaptabilitas dan penghargaan terhadap keberagaman, kunci sukses bekerja di lingkungan multikultural."
84,TKP,Tetangga yang berbeda agama mengundang Anda ke acara perayaan keagamaan mereka. Sikap Anda ...,Menolak dengan tegas karena berbeda keyakinan,Menghadiri acara sebagai bentuk penghormatan dan toleransi tanpa ikut ritual keagamaan,Mengabaikan undangan tanpa memberi respons,Hadir tetapi menunjukkan ketidaksetujuan,Melarang keluarga Anda untuk menghadiri acara tersebut,1,5,2,3,4,Menghadiri acara perayaan tetangga sebagai bentuk silaturahmi dan toleransi tanpa harus mengikuti ritual keagamaan menunjukkan dewasa dalam keberagaman.
85,TKP,Anda melihat berita viral yang menghina salah satu suku di Indonesia. Respons Anda ...,Membagikan berita tersebut untuk meningkatkan kesadaran,Meninggalkan komentar balasan yang menghina balik,Melaporkan konten tersebut dan memberikan edukasi di lingkungan sekitar tentang pentingnya saling menghargai,Mengabaikannya karena bukan urusan Anda,Berdebat panjang di kolom komentar,2,1,5,3,4,Melaporkan konten SARA dan memberikan edukasi menunjukkan sikap proaktif dalam menjaga persatuan dan keharmonisan sosial.
86,TKP,"Dalam tim kerja, ada anggota yang kurang dilibatkan karena berasal dari daerah yang berbeda dari mayoritas. Sikap Anda ...",Membiarkan dinamika tim berjalan apa adanya,Ikut mengecualikan anggota tersebut agar tim tetap kompak,Memastikan semua anggota dilibatkan secara adil dan mengapresiasi kontribusi masing-masing,Menyarankan anggota tersebut menyesuaikan diri,Melaporkan diskriminasi ke HRD tanpa mencoba menyelesaikan dulu,2,1,5,3,4,Memastikan inklusivitas dalam tim menunjukkan kepemimpinan dan penghargaan terhadap keberagaman sesuai nilai sosial budaya ASN.
87,TKP,Kantor Anda mengadakan perayaan hari besar nasional. Seorang rekan menolak berpartisipasi karena alasan budaya. Yang Anda lakukan ...,Memaksanya ikut karena ini acara kantor,Melaporkannya ke atasan karena tidak kooperatif,Menghormati keputusannya dan tetap mengajaknya berpartisipasi di kegiatan yang sesuai dengannya,Mengabaikan dan tidak mengajaknya lagi,Menjadikan ketidakhadirannya sebagai bahan pembicaraan,1,2,5,3,4,Menghormati pilihan yang berbasis nilai budaya sambil tetap inklusif menunjukkan kedewasaan sosial dalam menghadapi keberagaman.
88,TKP,Anda mendapati bahwa kebijakan pelayanan di kantor kurang mengakomodasi kebutuhan kelompok minoritas. Sikap Anda ...,Tidak mempermasalahkan karena sudah sesuai aturan,Mengubah kebijakan secara sepihak,Mengusulkan revisi kebijakan yang lebih inklusif kepada pimpinan dengan argumentasi yang konstruktif,Menunggu ada keluhan dari kelompok minoritas,Menyerahkan masalah ini ke bagian lain,2,1,5,3,4,Inisiatif mengusulkan kebijakan inklusif menunjukkan kepekaan sosial budaya dan komitmen terhadap keadilan pelayanan publik.
89,TKP,Kantor Anda mengimplementasikan sistem e-office untuk menggantikan surat manual. Banyak pegawai senior yang kesulitan. Anda ...,Mengusulkan pembatalan sistem e-office,Membiarkan pegawai senior belajar sendiri,Secara sukarela membuat tutorial sederhana dan menawarkan pelatihan informal untuk rekan yang kesulitan,Mengerjakan tugas mereka dalam sistem e-office,Hanya menggunakan sistem untuk keperluan sendiri,2,1,5,3,4,Membuat tutorial dan melatih rekan menunjukkan sikap kolaboratif dalam adopsi teknologi serta kemampuan transfer knowledge.
90,TKP,Anda menemukan bahwa data penting di sistem informasi kantor rentan terhadap kebocoran. Langkah Anda ...,Mengabaikan karena bukan tanggung jawab bagian IT,Langsung memperbaiki sistem tanpa izin,Melaporkan temuan kepada atasan dan bagian IT disertai rekomendasi perbaikan keamanan,Membicarakan ke rekan kerja saja,Memanfaatkan celah untuk kepentingan sendiri,2,1,5,3,4,Melaporkan kerentanan dengan rekomendasi menunjukkan kesadaran keamanan informasi dan tanggung jawab terhadap aset digital organisasi.
91,TKP,Atasan meminta Anda membuat laporan menggunakan software yang belum Anda kuasai. Deadline sangat ketat. Anda ...,Menolak tugas karena tidak menguasai software tersebut,Membuat laporan dengan cara manual saja,Mempelajari software secara cepat melalui tutorial online dan meminta bantuan rekan yang sudah menguasai,Meminta perpanjangan waktu tanpa berusaha,Menyuruh rekan kerja yang sudah bisa untuk mengerjakannya,2,1,5,3,4,Inisiatif belajar mandiri dan kolaborasi menunjukkan adaptabilitas terhadap teknologi dan komitmen menyelesaikan tugas tepat waktu.
92,TKP,Anda menerima email mencurigakan yang meminta password akun resmi kantor. Yang Anda lakukan ...,Memberikan password karena tampilannya resmi,Mengabaikan email tersebut,"Tidak membuka tautan, melaporkan ke bagian IT, dan menginformasikan rekan kerja tentang ancaman phishing",Membalas email untuk memastikan keasliannya,Meneruskan email ke rekan kerja untuk meminta pendapat,1,2,5,3,4,"Kesadaran terhadap ancaman siber dan respons tepat (tidak klik, lapor IT, edukasi rekan) menunjukkan literasi keamanan digital yang tinggi."
93,TKP,"Kantor Anda mulai menggunakan video conference untuk rapat rutin. Dalam rapat virtual, rekan sering mengalami kendala teknis. Sikap Anda ...",Menyarankan kembali ke rapat tatap muka saja,Membiarkan mereka mengatasi kendala sendiri,Membantu troubleshooting sederhana dan menyusun panduan best practice untuk rapat virtual,Mengeluh karena rapat virtual tidak efektif,Tidak hadir jika ada masalah koneksi,2,1,5,3,4,Membantu troubleshooting dan membuat panduan menunjukkan pemberdayaan TIK yang proaktif untuk meningkatkan efektivitas kerja tim.
94,TKP,Data pelayanan publik yang Anda kelola perlu digitalisasi. Namun anggaran terbatas. Solusi Anda ...,Menunda digitalisasi sampai ada anggaran penuh,Tetap menggunakan pencatatan manual selamanya,Memulai digitalisasi bertahap menggunakan tools gratis yang tersedia dan mengajukan anggaran untuk tahap selanjutnya,Menggunakan software bajakan untuk menghemat biaya,Meminta warga yang mengurus sendiri datanya secara digital,2,1,5,3,4,Pendekatan bertahap dengan tools yang tersedia menunjukkan kreativitas dan pragmatisme dalam memanfaatkan teknologi secara efisien.
95,TKP,Anda diminta mengelola media sosial resmi instansi. Sebuah akun warga menyebarkan informasi palsu tentang layanan kantor Anda. Sikap Anda ...,Memblokir akun tersebut tanpa penjelasan,Membalas dengan nada marah di kolom komentar,Memberikan klarifikasi dengan data yang akurat secara profesional dan sopan melalui akun resmi,Mengabaikan karena orang tidak akan percaya hoaks,Membuat postingan sindiran tanpa menyebut nama,2,1,5,3,4,Klarifikasi profesional berbasis data melalui kanal resmi menunjukkan pengelolaan komunikasi publik digital yang bijak dan bertanggung jawab.
96,TKP,Anda diberi tanggung jawab tambahan di luar tupoksi utama karena kantor sedang kekurangan pegawai. Sikap Anda ...,Menolak karena bukan tugas Anda,Menerima terpaksa dan mengerjakannya dengan asal-asalan,Menerima dengan penuh tanggung jawab dan mengatur prioritas agar semua tugas terselesaikan dengan baik,Menyuruh rekan lain untuk menggantikan,Melaporkan ke serikat pekerja karena merasa dieksploitasi,2,1,5,3,4,Menerima tanggung jawab tambahan dengan manajemen prioritas yang baik menunjukkan profesionalisme dan dedikasi terhadap organisasi.
97,TKP,Anda memiliki jadwal pelatihan penting yang bersamaan dengan acara keluarga. Keputusan Anda ...,Membatalkan pelatihan untuk menghadiri acara keluarga,Menghadiri acara keluarga dan meminta teman mencatatkan materi pelatihan,Menghadiri pelatihan dan mengkomunikasikan ketidakhadiran di acara keluarga secara baik-baik,Tidak hadir di keduanya karena bingung memilih,Datang terlambat ke pelatihan setelah menghadiri acara keluarga sebentar,2,1,5,3,4,Mendahulukan tugas kedinasan yang penting sambil berkomunikasi secara baik dengan keluarga menunjukkan profesionalisme yang matang.
98,TKP,Rekan kerja mengajak Anda melakukan kecurangan ringan dalam pelaporan kinerja. Sikap Anda ...,Ikut melakukannya agar hubungan tetap baik,Menolak dan langsung melaporkannya ke atasan,"Menolak dengan tegas namun sopan dan mengingatkan pentingnya integritas, tanpa langsung melaporkan kecuali ia tetap melakukannya",Berpura-pura tidak mendengar,Ikut tapi hanya sekali saja,2,3,5,4,1,Menolak dengan tegas namun tetap menjaga hubungan dan memberikan edukasi menunjukkan integritas profesional dan kebijaksanaan dalam hubungan kerja.
99,TKP,Anda mendapat kritik dari atasan atas hasil kerja yang Anda yakini sudah benar. Respons Anda ...,Membela diri dengan keras di depan rekan kerja,Diam saja dan merasa tidak dihargai,"Menerima kritik, meminta umpan balik spesifik untuk perbaikan, dan mengevaluasi kembali pekerjaan secara objektif",Langsung meminta pindah divisi,Mengeluh di media sosial tentang perlakuan atasan,2,1,5,3,4,Menerima kritik konstruktif dan aktif mencari feedback spesifik menunjukkan growth mindset dan profesionalisme.
100,TKP,Anda ditawarkan proyek sampingan yang menguntungkan secara finansial tetapi berpotensi mengganggu kinerja di kantor. Keputusan Anda ...,Menerima proyek dan mengorbankan waktu kerja di kantor,Menerima proyek dan mengerjakan secara diam-diam di jam kerja,"Mengevaluasi dengan jujur apakah proyek tersebut bisa dijalankan tanpa mengganggu tugas utama, dan berkonsultasi dengan atasan",Menolak mentah-mentah tanpa pertimbangan,Menerima proyek dan meminta cuti berkepanjangan,2,1,5,3,4,Evaluasi jujur dan konsultasi dengan atasan menunjukkan transparansi dan komitmen profesional terhadap tugas utama sebagai ASN.
101,TKP,"Anda diminta menyelesaikan tugas yang sebenarnya sangat mudah, tetapi deadline-nya masih lama. Sikap Anda ...",Menunda hingga mendekati deadline,Menyelesaikan secepat mungkin namun asal-asalan,Menyelesaikan dengan kualitas terbaik sesegera mungkin agar bisa mengerjakan tugas lain,Mendelegasikan ke bawahan tanpa supervisi,Mengerjakan sambil lalu karena tugasnya mudah,2,1,5,3,4,Menyelesaikan tugas dengan kualitas terbaik secepat mungkin menunjukkan etos kerja dan efisiensi profesional.
102,TKP,Anda menyadari bahwa keahlian yang Anda miliki sudah kurang relevan dengan perkembangan terbaru di bidang Anda. Yang Anda lakukan ...,Tidak peduli karena sudah cukup pengalaman,Menunggu kantor mengirim untuk pelatihan,"Secara proaktif mencari pelatihan mandiri, membaca literatur terbaru, dan mendiskusikan perkembangan dengan kolega",Meminta pindah ke bagian yang sesuai keahlian lama,Mengandalkan junior untuk pekerjaan yang membutuhkan keahlian baru,2,1,5,3,4,Inisiatif pengembangan diri secara mandiri menunjukkan profesionalisme dan komitmen terhadap peningkatan kompetensi berkelanjutan.
103,TKP,Anda bekerja dalam tim dan salah satu anggota tim tidak berkontribusi optimal. Hal ini memengaruhi kinerja tim secara keseluruhan. Langkah Anda ...,Melaporkan langsung ke atasan agar anggota tersebut ditegur,Mengabaikan dan mengerjakan bagiannya juga,Mengajak bicara secara empat mata untuk memahami kendalanya dan mencari solusi bersama,Membicarakan di belakang dengan anggota tim lain,Menyalahkannya saat presentasi hasil kerja tim,2,1,5,3,4,Dialog empat mata menunjukkan pendekatan profesional: mencari akar masalah dan solusi kolaboratif sebelum eskalasi.
104,TKP,Anda melihat rekan kerja menyebarkan konten yang mengandung ujaran kebencian terhadap kelompok tertentu di media sosial. Sikap Anda ...,Membiarkan karena itu kebebasan berekspresi,Ikut menyebarkan jika Anda setuju,Mengingatkan secara personal tentang dampak negatif ujaran kebencian dan pentingnya menjaga persatuan,Melaporkan langsung ke polisi tanpa bicara terlebih dahulu,Memblokir rekan tersebut dari semua media sosial,2,1,5,3,4,"Pendekatan personal dan edukatif adalah langkah pertama terbaik dalam mencegah penyebaran kebencian, sebelum eskalasi ke jalur formal."
105,TKP,"Di lingkungan tempat tinggal Anda, ada kelompok yang mengajak warga untuk menolak ideologi Pancasila. Respons Anda ...",Bergabung dengan kelompok tersebut karena penasaran,Mengabaikan karena bukan urusan Anda,Melaporkan kepada pihak berwajib dan aktif menyelenggarakan kegiatan yang memperkuat nilai-nilai Pancasila,Mendukung secara diam-diam,Hanya memperingatkan keluarga sendiri,2,1,5,3,4,Melapor dan aktif memperkuat Pancasila menunjukkan bela negara terhadap ancaman ideologi anti-NKRI.
106,TKP,Anda menghadiri seminar yang pembicaranya menyampaikan pandangan intoleran terhadap kelompok agama lain. Sikap Anda ...,Setuju dan mendukung pandangannya,Diam saja agar tidak menimbulkan masalah,Mengajukan pertanyaan kritis yang mengarahkan diskusi ke nilai-nilai toleransi dan kebhinnekaan,Meninggalkan seminar sambil membuat keributan,Merekam dan menyebarkan di media sosial untuk diviralkan,2,1,5,3,4,Mengajukan pertanyaan kritis secara santun menunjukkan kemampuan melawan narasi intoleran secara intelektual tanpa provokasi.
107,TKP,Anda menemukan materi berisi ajakan kekerasan atas nama agama di grup WhatsApp kantor. Tindakan Anda ...,Keluar dari grup tanpa bicara,Membiarkan karena takut dianggap tidak toleran,"Menegur pengirim di chat pribadi, melaporkan ke atasan, dan mengingatkan di grup tentang penggunaan medsos yang bijak",Langsung melaporkan ke polisi,Meneruskan ke grup lain untuk meminta pendapat,2,1,5,3,4,"Multi-pendekatan: teguran personal, laporan internal, dan edukasi di grup menunjukkan penanganan konten radikal yang komprehensif dan proporsional."
108,TKP,"Saat diskusi di kantor, seorang kolega mengungkapkan pandangan yang cenderung mendukung gerakan separatisme. Sikap Anda ...",Mendukung pendapatnya karena menghargai kebebasan berpendapat,Mengabaikan dan menganggapnya bercanda,"Menanggapi dengan tenang, memberikan perspektif tentang pentingnya NKRI, dan jika berlanjut melaporkan melalui jalur yang tepat",Langsung memutus hubungan dengannya,Mempermalukannya di depan rekan kerja lain,2,1,5,3,4,Respons tenang berbasis argumentasi kebangsaan adalah cara efektif menangkal paham separatisme tanpa memicu konflik.
109,TKP,Anak Anda bertanya mengapa ada orang yang melakukan aksi terorisme atas nama agama. Penjelasan Anda ...,Menyalahkan agama tertentu sebagai penyebab terorisme,Menghindari pertanyaan karena topik sensitif,"Menjelaskan bahwa terorisme adalah tindakan kriminal yang bertentangan dengan semua agama, dan mengajarkan pentingnya toleransi",Menyuruh anak tidak bertanya tentang hal sensitif,Menjelaskan bahwa hal tersebut wajar terjadi,2,1,5,3,4,Edukasi sejak dini bahwa terorisme =/= agama dan pentingnya toleransi membentuk generasi anti-radikalisme yang berdasar pemahaman.
110,TKP,Anda mengetahui bahwa ada indikasi radikalisasi terhadap pemuda di lingkungan sekitar Anda melalui kegiatan kajian tertutup. Langkah Anda ...,Mengabaikan karena bukan wewenang Anda,Bergabung dalam kajian untuk memantau sendiri,Melaporkan ke aparat keamanan dan berkoordinasi dengan tokoh masyarakat untuk mengadakan kegiatan kontra-radikalisasi yang positif,Membicarakan dengan tetangga saja,Menyebarkan informasi di media sosial untuk memviralkan,2,1,5,3,4,Kolaborasi pelaporan dan kontra-radikalisasi melalui tokoh masyarakat adalah pendekatan pencegahan radikalisme yang paling efektif dan berkelanjutan.
