number,segment,content,option_a,option_b,option_c,option_d,option_e,score_a,score_b,score_c,score_d,score_e,discussion,sub_category
34,TIU,Semua peserta diklat CPNS menggunakan kemeja putih. Sebagian peserta diklat CPNS membawa laptop. Kesimpulan yang paling tepat adalah...,Semua peserta diklat CPNS membawa laptop dan berkemeja putih,Sebagian peserta diklat CPNS tidak menggunakan kemeja putih,Semua yang membawa laptop adalah peserta diklat CPNS,Sebagian peserta diklat CPNS berkemeja putih dan membawa laptop,Tidak ada peserta berkemeja putih yang membawa laptop,0,0,0,5,0,"Silogisme Kategoris. P1: Semua peserta = kemeja putih. P2: Sebagian peserta = membawa laptop. Irisannya adalah: Ada sebagian peserta yang memiliki kedua sifat tersebut, yaitu berkemeja putih sekaligus membawa laptop.",Silogisme
35,TIU,"Jika cuaca cerah, maka penerbangan dilanjutkan. Jika penerbangan dilanjutkan, maka penumpang tiba tepat waktu. Saat ini, penumpang tidak tiba tepat waktu. Kesimpulan yang tepat adalah...",Cuaca sedang sangat buruk,Penerbangan tetap dilanjutkan namun tertunda,Cuaca tidak cerah,Penerbangan tidak dilanjutkan karena mesin rusak,Penumpang membatalkan penerbangannya,0,0,5,0,0,"Silogisme berantai dan Modus Tollens. Jika P maka Q, Jika Q maka R. Kesimpulan gabungan: Jika P maka R. Fakta yang terjadi adalah Tidak R (penumpang tidak tiba tepat waktu), maka kesimpulannya pasti Tidak P (cuaca tidak cerah).",Silogisme
36,TIU,Tidak ada mahasiswa yang malas membaca buku. Beberapa pengurus BEM adalah mahasiswa. Kesimpulan yang sah adalah...,Beberapa pengurus BEM rajin membaca buku,Semua pengurus BEM tidak malas membaca buku,Beberapa pengurus BEM bukan mahasiswa,Tidak ada pengurus BEM yang malas membaca buku,Semua mahasiswa adalah pengurus BEM,5,0,0,0,0,Silogisme Kategoris. P1: Semua Mahasiswa = Tidak malas membaca (Rajin). P2: Beberapa pengurus BEM = Mahasiswa. Kesimpulan: Beberapa pengurus BEM (yang berstatus mahasiswa) tersebut tidak malas (rajin) membaca buku.,Silogisme
37,TIU,"Lima orang pasien A, B, C, D, dan E sedang mengantre di apotek. Posisi B berada tepat di depan D. Posisi A berada di urutan paling belakang. Posisi C berada tepat di belakang E. Jika C berada di urutan kedua, siapa yang berada di urutan keempat?",A,B,C,D,E,0,0,0,5,0,"Penalaran Analitis Posisi. A paling belakang (ke-5). C di urutan ke-2. Karena C di belakang E, maka E pasti nomor 1. Susunan sementara: E(1), C(2), X(3), X(4), A(5). Tersisa B dan D, dengan B di depan D. Maka B di nomor 3 dan D di nomor 4. Susunan akhir: E, C, B, D, A. Yang di urutan ke-4 adalah D.",Analitis
38,TIU,"Dalam sebuah kompetisi, nilai Dira lebih tinggi dari Caca namun lebih rendah dari Eka. Nilai Bima lebih tinggi dari Fara namun lebih rendah dari Caca. Siapakah yang memiliki nilai tertinggi kedua?",Bima,Caca,Dira,Eka,Fara,0,0,5,0,0,Penalaran Analitis Perbandingan. Eka > Dira > Caca. Bima > Fara dan Caca > Bima. Digabung menjadi: Eka > Dira > Caca > Bima > Fara. Maka nilai tertinggi kedua adalah Dira.,Analitis
39,TIU,"Terdapat tumpukan buku: Matematika at paling atas. Biologi berada tepat di bawah Matematika. Kimia berada di atas Fisika, dan Fisika berada di atas Biologi. Buku apakah yang berada di tumpukan kedua dari atas?",Matematika,Biologi,Kimia,Fisika,Sastra,0,5,0,0,0,"Analitis Urutan. Dari petunjuk: Matematika berada paling atas. Biologi berada tepat di bawah Matematika. Kimia berada di atas Fisika dan Fisika di atas Biologi. Susunan dari atas: Mat(1), Bio(2), Fisika(3), Kimia(4). Buku kedua dari atas adalah Biologi. Jawaban: B.",Analitis
40,TIU,"Jadwal penerbangan dari Jakarta ke 5 kota (P, Q, R, S, T) diatur berurutan. Pesawat ke kota S terbang setelah kota P dan sebelum kota Q. Pesawat ke kota T terbang pertama kali. Penerbangan ke kota R dilakukan tepat sebelum kota P. Penerbangan ke kota manakah yang berada di urutan ketiga?",Kota P,Kota Q,Kota R,Kota S,Kota T,5,0,0,0,0,"Penalaran Analitis Urutan. T terbang pertama (1). P, S, Q berurutan (P > S > Q). R tepat sebelum P (R > P). Digabungkan: T > R > P > S > Q. Urutan 1(T), 2(R), 3(P), 4(S), 5(Q). Urutan ketiga adalah penerbangan ke kota P.",Analitis
41,TIU,"Hasil dari $3/8$ x 40% + 0,15 adalah...","0,20","0,25","0,30","0,35","0,40",0,0,5,0,0,"Operasi Berhitung Campuran. $$3/8$$ x 40% = $$3/8$$ x $40/100$ = $120/800$ = $15/100$ = 0,15. Kemudian 0,15 + 0,15 = 0,30.",Berhitung
42,TIU,Berapakah hasil dari $$25^2$$ - $$15^2$$ ?,200,300,400,500,600,0,0,5,0,0,Berhitung. Gunakan rumus selisih kuadrat: $$25^2$$ - $$15^2$$ = (25+15)(25-15) = 40 x 10 = 400. Jawaban: C.,Berhitung
43,TIU,Nilai dari akar pangkat dua dari (144 + 25) ditambah dengan $$3^3$$ adalah...,36,40,42,45,50,0,5,0,0,0,Operasi Akar dan Pangkat. $144 + 25 = 169$. Akar dari 169 adalah 13. Kemudian $$3^3$$ = 27. Maka $13 + 27 = 40$. Jawaban B.,Berhitung
44,TIU,"Jika $x = 4$ dan $y = -2$, berapakah nilai dari $x^2$ + 2xy + $y^2$ ?",4,8,12,16,20,5,0,0,0,0,Aljabar. Persamaan $x^2$ + 2xy + $y^2$ sama dengan (x + y)^2. Masukkan angka: (4 + (-2))^2 = (2)^2 = 4. Jawaban A.,Berhitung
45,TIU,"Perhatikan deret berikut: 4, 6, 10, 16, 24, ... Angka selanjutnya adalah...",30,32,34,36,38,0,0,5,0,0,"Pola Deret Aritmatika Bertingkat. Selisih antar angka adalah: +2, +4, +6, +8. Maka selisih selanjutnya adalah +10. Angka berikutnya: $24 + 10 = 34$. Jawaban C.",Deret Angka
46,TIU,"Tentukan angka selanjutnya dari deret berikut: 5, 10, 8, 16, 14, ...",24,26,28,30,32,0,0,5,0,0,"Deret Angka: Pola x2, -2. 14 x 2 = 28. Jawaban C.",Deret Angka
47,TIU,"Tentukan angka selanjutnya dari deret: 100, 95, 85, 70, 50, ...",20,25,30,35,40,0,5,0,0,0,"Pola Deret Turun Bertingkat. Selisih pengurangan: -5, -10, -15, -20. Maka pengurangan selanjutnya adalah -25. Angka berikutnya: $50 - 25 = 25$. Jawaban B.",Deret Angka
48,TIU,"Deret huruf: A, C, F, J, O, ... Huruf selanjutnya adalah...",S,T,U,V,W,0,0,5,0,0,"Pola Deret Huruf Loncatan. A ke C (lewat 1 huruf: B), C ke F (lewat 2 huruf: D, E), F ke J (lewat 3 huruf: G, H, I), J ke O (lewat 4 huruf). Maka O ditambah loncat 5 huruf (P, Q, R, S, T) jatuh pada huruf U. Jawaban C.",Deret Angka
49,TIU,"Diketahui X = $3/4$ dari 80, dan Y = $2/3$ dari 90. Maka hubungan yang benar adalah...",X > Y,X < Y,X = Y,X = Y + 10,Tidak dapat ditentukan,0,0,5,0,0,"Perbandingan Kuantitatif Pecahan. Nilai X = ($3/4$) x 80 = 60. Nilai Y = ($2/3$) x 90 = 60. Karena 60 = 60, maka X = Y. Jawaban C.",Perbandingan Kuantitatif
50,TIU,"Jika harga 3 buah kemeja adalah Rp150.000 dan harga 4 buah celana adalah Rp240.000. Jika X adalah harga 1 kemeja dan Y adalah harga 1 celana, maka...",X > Y,X < Y,X = Y,X + $Y = 100$.000,Hubungan tidak dapat ditentukan,0,5,0,0,0,"Perbandingan Kuantitatif Harga. X (1 kemeja) = 150.$000 / 3 = Rp50$.000. Y (1 celana) = 240.$000 / 4 = Rp60$.000. Maka X (50.000) lebih kecil dari Y (60.000), atau X < Y. Jawaban B.",Perbandingan Kuantitatif
51,TIU,Diketahui X = luas persegi dengan panjang sisi 6 cm. Y = luas persegi panjang dengan panjang 9 cm dan lebar 4 cm. Hubungan X dan Y adalah...,X > Y,X < Y,X = Y,X + $Y = 70$,Hubungan tidak dapat ditentukan,0,0,5,0,0,Perbandingan Kuantitatif Geometri Dasar. Luas X (Persegi) = 6 x 6 = 36 cm2. Luas Y (Persegi Panjang) = 9 x 4 = 36 cm2. Maka X = Y. Jawaban C.,Perbandingan Kuantitatif
52,TIU,"Pekerja A dapat menyelesaikan pengecatan dalam 6 hari. Pekerja B dapat menyelesaikan dalam 12 hari. Jika X adalah waktu mereka berdua menyelesaikannya secara bersama-sama, dan $Y = 5$ hari. Maka...",X > Y,X < Y,X = Y,X - $Y = 1$,Hubungan tidak dapat ditentukan,0,5,0,0,0,"Kecepatan Kerja. Kecepatan A = $$1/6$$ per hari, B = $1/12$ per hari. Bersama-sama = $$1/6$$ + $1/12$ = $2/12$ + $1/12$ = $3/12$ = $1/4$ bagian per hari. Maka waktu selesai bersama (X) = 4 hari. Karena $Y = 5$, maka X < Y. Jawaban B.",Perbandingan Kuantitatif
53,TIU,"Budi berangkat dari kota A ke kota B dengan kecepatan 40 km/jam pada pukul 08.00. Pada rute yang sama, Doni berangkat dari kota B ke kota A dengan kecepatan 60 km/jam pada waktu yang sama. Jika jarak kedua kota adalah 200 km, pukul berapa mereka akan berpapasan?",09.30,10.00,10.30,11.00,11.30,0,5,0,0,0,Soal Cerita Kecepatan Berpapasan (Waktu Sama). Waktu papasan = Jarak Total / (Kecepatan 1 + Kecepatan 2) = 200 / (40 + 60) = $200 / 100 = 2$ jam. Waktu bertemu = 08.00 + 2 jam = Pukul 10.00. Jawaban B.,Soal Cerita
54,TIU,"Seorang pedagang membeli sepeda seharga Rp500.000. Setelah diperbaiki dengan biaya Rp50.000, ia menjualnya dan mendapatkan keuntungan 20% dari total modal yang dikeluarkan. Berapakah harga jual sepeda tersebut?",Rp600.000,Rp620.000,Rp640.000,Rp660.000,Rp680.000,0,0,0,5,0,Soal Cerita Aritmatika Sosial. Total Modal = Harga Beli + Biaya Perbaikan = 500.000 + 50.000 = Rp550.000. Keuntungan 20% dari modal = $20/100$ x 550.000 = Rp110.000. Harga Jual = $Modal + Untung = 550$.000 + 110.000 = Rp660.000. Jawaban D.,Soal Cerita
55,TIU,"Rata-rata nilai ujian matematika dari 4 orang siswa adalah 75. Setelah nilai Dodi dimasukkan, rata-rata nilai menjadi 78. Berapakah nilai ujian matematika Dodi?",85,87,90,92,95,0,0,5,0,0,Soal Cerita Rata-rata Gabungan. Total nilai awal = 4 x 75 = 300. Total nilai baru (5 orang) = 5 x 78 = 390. Nilai Dodi = Total Baru - Total Awal = $390 - 300 = 90$. Jawaban C.,Soal Cerita
56,TIU,Umur Andi saat ini adalah 3 kali umur Budi. Selisih umur mereka berdua adalah 10 tahun. Berapakah umur Andi 5 tahun yang akan datang?,15 tahun,20 tahun,25 tahun,30 tahun,35 tahun,0,5,0,0,0,Soal Cerita Persamaan Linier Umur. A = 3B. $A - B = 10$. Substitusi: $3B - B = 10$ -> 2B = 10 -> B = 5 tahun. Umur Andi sekarang (A) = 3 x 5 = 15 tahun. Umur Andi 5 tahun lagi = $15 + 5 = 20$ tahun. Jawaban B.,Soal Cerita
57,TIU,![Problem](https://kthjlyrqhryhryhryhry.supabase.co/storage/v1/object/public/exam-assets/latihan4/l4_q57_problem.png) Manakah gambar yang paling tepat untuk melengkapi pola di atas?,![A](https://kthjlyrqhryhryhryhry.supabase.co/storage/v1/object/public/exam-assets/latihan4/l4_q57_opt_A.png),![B](https://kthjlyrqhryhryhryhry.supabase.co/storage/v1/object/public/exam-assets/latihan4/l4_q57_opt_B.png),![C](https://kthjlyrqhryhryhryhry.supabase.co/storage/v1/object/public/exam-assets/latihan4/l4_q57_opt_C.png),![D](https://kthjlyrqhryhryhryhry.supabase.co/storage/v1/object/public/exam-assets/latihan4/l4_q57_opt_D.png),![E](https://kthjlyrqhryhryhryhry.supabase.co/storage/v1/object/public/exam-assets/latihan4/l4_q57_opt_E.png),5,0,0,0,0,Analogi Rotasi Objek 2D. Pola dari A ke B adalah memutar bangun sejauh 90 derajat sehingga orientasinya berubah dari vertikal menjadi horizontal. Maka Elips vertikal jika diputar 90 derajat menjadi Elips horizontal. Jawaban C.,Analogi Gambar
58,TIU,![Problem](https://kthjlyrqhryhryhryhry.supabase.co/storage/v1/object/public/exam-assets/latihan4/l4_q58_problem.png) Manakah gambar yang paling tepat untuk melengkapi pola di atas?,![A](https://kthjlyrqhryhryhryhry.supabase.co/storage/v1/object/public/exam-assets/latihan4/l4_q58_opt_A.png),![B](https://kthjlyrqhryhryhryhry.supabase.co/storage/v1/object/public/exam-assets/latihan4/l4_q58_opt_B.png),![C](https://kthjlyrqhryhryhryhry.supabase.co/storage/v1/object/public/exam-assets/latihan4/l4_q58_opt_C.png),![D](https://kthjlyrqhryhryhryhry.supabase.co/storage/v1/object/public/exam-assets/latihan4/l4_q58_opt_D.png),![E](https://kthjlyrqhryhryhryhry.supabase.co/storage/v1/object/public/exam-assets/latihan4/l4_q58_opt_E.png),0,0,0,5,0,"Analogi Inversi Visual. Polanya adalah bangun yang ada di dalam dan di luar saling bertukar tempat (inversi posisi), sekaligus warnanya saling bertukar kebalikannya. Maka persegi putih di dalam segilima hitam menjadi segilima putih di dalam persegi hitam. Jawaban B.",Analogi Gambar
59,TIU,![Problem](https://kthjlyrqhryhryhryhry.supabase.co/storage/v1/object/public/exam-assets/latihan4/l4_q59_problem.png) Manakah gambar yang paling tepat untuk melengkapi pola di atas?,![A](https://kthjlyrqhryhryhryhry.supabase.co/storage/v1/object/public/exam-assets/latihan4/l4_q59_opt_A.png),![B](https://kthjlyrqhryhryhryhry.supabase.co/storage/v1/object/public/exam-assets/latihan4/l4_q59_opt_B.png),![C](https://kthjlyrqhryhryhryhry.supabase.co/storage/v1/object/public/exam-assets/latihan4/l4_q59_opt_C.png),![D](https://kthjlyrqhryhryhryhry.supabase.co/storage/v1/object/public/exam-assets/latihan4/l4_q59_opt_D.png),![E](https://kthjlyrqhryhryhryhry.supabase.co/storage/v1/object/public/exam-assets/latihan4/l4_q59_opt_E.png),0,0,5,0,0,"Analogi Geometri (Pengurangan Sisi). Pola dari A ke B adalah jumlah sisi berkurang satu (6 menjadi 5). Maka dari C ke D, bangun segiempat (4 sisi) berkurang satu sisinya menjadi Segitiga (3 sisi). Jawaban A.",Analogi Gambar
60,TIU,![Problem](https://kthjlyrqhryhryhryhry.supabase.co/storage/v1/object/public/exam-assets/latihan4/l4_q60_problem.png) Manakah gambar yang paling tepat untuk melengkapi pola di atas?,![A](https://kthjlyrqhryhryhryhry.supabase.co/storage/v1/object/public/exam-assets/latihan4/l4_q60_opt_A.png),![B](https://kthjlyrqhryhryhryhry.supabase.co/storage/v1/object/public/exam-assets/latihan4/l4_q60_opt_B.png),![C](https://kthjlyrqhryhryhryhry.supabase.co/storage/v1/object/public/exam-assets/latihan4/l4_q60_opt_C.png),![D](https://kthjlyrqhryhryhryhry.supabase.co/storage/v1/object/public/exam-assets/latihan4/l4_q60_opt_D.png),![E](https://kthjlyrqhryhryhryhry.supabase.co/storage/v1/object/public/exam-assets/latihan4/l4_q60_opt_E.png),0,5,0,0,0,"Klasifikasi Bangun Datar. Persegi, persegi panjang, segitiga sama sisi, dan belah ketupat dapat dilipat menjadi dua bagian yang saling menutupi persis (memiliki simetri lipat). Jajar genjang tidak memiliki sumbu simetri lipat. Jawaban E.",Ketidaksamaan Gambar
61,TIU,![Problem](https://kthjlyrqhryhryhryhry.supabase.co/storage/v1/object/public/exam-assets/latihan4/l4_q61_problem.png) Manakah gambar yang paling tepat untuk melengkapi pola di atas?,![A](https://kthjlyrqhryhryhryhry.supabase.co/storage/v1/object/public/exam-assets/latihan4/l4_q61_opt_A.png),![B](https://kthjlyrqhryhryhryhry.supabase.co/storage/v1/object/public/exam-assets/latihan4/l4_q61_opt_B.png),![C](https://kthjlyrqhryhryhryhry.supabase.co/storage/v1/object/public/exam-assets/latihan4/l4_q61_opt_C.png),![D](https://kthjlyrqhryhryhryhry.supabase.co/storage/v1/object/public/exam-assets/latihan4/l4_q61_opt_D.png),![E](https://kthjlyrqhryhryhryhry.supabase.co/storage/v1/object/public/exam-assets/latihan4/l4_q61_opt_E.png),0,5,0,0,0,"Klasifikasi Kurva/Batas. Gambar A, B, C, dan D merupakan bangun datar berbentuk poligon atau kurva TERTUTUP (memiliki luas dalam). Sedangkan parabola terbuka (E) adalah garis lengkung atau kurva TERBUKA yang tidak membatasi sebuah area. Jawaban E.",Ketidaksamaan Gambar
62,TIU,![Problem](https://kthjlyrqhryhryhryhry.supabase.co/storage/v1/object/public/exam-assets/latihan4/l4_q62_problem.png) Manakah gambar yang paling tepat untuk melengkapi pola di atas?,![A](https://kthjlyrqhryhryhryhry.supabase.co/storage/v1/object/public/exam-assets/latihan4/l4_q62_opt_A.png),![B](https://kthjlyrqhryhryhryhry.supabase.co/storage/v1/object/public/exam-assets/latihan4/l4_q62_opt_B.png),![C](https://kthjlyrqhryhryhryhry.supabase.co/storage/v1/object/public/exam-assets/latihan4/l4_q62_opt_C.png),![D](https://kthjlyrqhryhryhryhry.supabase.co/storage/v1/object/public/exam-assets/latihan4/l4_q62_opt_D.png),![E](https://kthjlyrqhryhryhryhry.supabase.co/storage/v1/object/public/exam-assets/latihan4/l4_q62_opt_E.png),0,0,0,0,5,"Pola Aritmatika Gambar. Kotak A, B, C, dan D berisi jumlah titik hitam bernilai genap. Kotak E adalah satu-satunya yang berisi jumlah titik hitam ganjil (9 titik). Jawaban E.",Ketidaksamaan Gambar
63,TIU,![Problem](https://kthjlyrqhryhryhryhry.supabase.co/storage/v1/object/public/exam-assets/latihan4/l4_q63_problem.png) Manakah gambar yang paling tepat untuk melengkapi pola di atas?,![A](https://kthjlyrqhryhryhryhry.supabase.co/storage/v1/object/public/exam-assets/latihan4/l4_q63_opt_A.png),![B](https://kthjlyrqhryhryhryhry.supabase.co/storage/v1/object/public/exam-assets/latihan4/l4_q63_opt_B.png),![C](https://kthjlyrqhryhryhryhry.supabase.co/storage/v1/object/public/exam-assets/latihan4/l4_q63_opt_C.png),![D](https://kthjlyrqhryhryhryhry.supabase.co/storage/v1/object/public/exam-assets/latihan4/l4_q63_opt_D.png),![E](https://kthjlyrqhryhryhryhry.supabase.co/storage/v1/object/public/exam-assets/latihan4/l4_q63_opt_E.png),0,0,0,0,5,"Serial Rotasi Visual. Anak panah berputar searah jarum jam sebesar 45 derajat (satu sudut mata angin) pada setiap langkahnya. Setelah arah Tenggara, rotasi 45 derajat berikutnya adalah arah Selatan. Jawaban A.",Serial Gambar
64,TIU,![Problem](https://kthjlyrqhryhryhryhry.supabase.co/storage/v1/object/public/exam-assets/latihan4/l4_q64_problem.png) Manakah gambar yang paling tepat untuk melengkapi pola di atas?,![A](https://kthjlyrqhryhryhryhry.supabase.co/storage/v1/object/public/exam-assets/latihan4/l4_q64_opt_A.png),![B](https://kthjlyrqhryhryhryhry.supabase.co/storage/v1/object/public/exam-assets/latihan4/l4_q64_opt_B.png),![C](https://kthjlyrqhryhryhryhry.supabase.co/storage/v1/object/public/exam-assets/latihan4/l4_q64_opt_C.png),![D](https://kthjlyrqhryhryhryhry.supabase.co/storage/v1/object/public/exam-assets/latihan4/l4_q64_opt_D.png),![E](https://kthjlyrqhryhryhryhry.supabase.co/storage/v1/object/public/exam-assets/latihan4/l4_q64_opt_E.png),0,0,0,5,0,"Serial Penambahan Elemen Konsekutif. Jumlah garis bertambah satu setiap gambar: G1 (1 garis), G2 (2 garis), G3 (3 garis), G4 (4 garis), maka Gambar ke-5 akan memiliki 5 garis. Bangun datar yang dibentuk oleh 5 garis beraturan adalah Segilima (Pentagon). Jawaban B.",Serial Gambar
65,TIU,![Problem](https://kthjlyrqhryhryhryhry.supabase.co/storage/v1/object/public/exam-assets/latihan4/l4_q65_problem.png) Manakah gambar yang paling tepat untuk melengkapi pola di atas?,![A](https://kthjlyrqhryhryhryhry.supabase.co/storage/v1/object/public/exam-assets/latihan4/l4_q65_opt_A.png),![B](https://kthjlyrqhryhryhryhry.supabase.co/storage/v1/object/public/exam-assets/latihan4/l4_q65_opt_B.png),![C](https://kthjlyrqhryhryhryhry.supabase.co/storage/v1/object/public/exam-assets/latihan4/l4_q65_opt_C.png),![D](https://kthjlyrqhryhryhryhry.supabase.co/storage/v1/object/public/exam-assets/latihan4/l4_q65_opt_D.png),![E](https://kthjlyrqhryhryhryhry.supabase.co/storage/v1/object/public/exam-assets/latihan4/l4_q65_opt_E.png),5,0,0,0,0,"Serial Siklikal (Berulang). Arsiran bergerak searah jarum jam sejauh 1 kuadran per langkah (Kanan Atas -> Kanan Bawah -> Kiri Bawah -> Kiri Atas). Ini adalah siklus 4 tahap. Gambar ke-7: 7 dibagi 4 bersisa 3. Maka posisi Gambar ke-7 sama dengan posisi Gambar ke-3, yaitu Kiri Bawah. Jawaban: D.",Serial Gambar
66,TKP,"Saat Anda bertugas di loket, seorang warga datang marah-marah karena merasa proses pelayanannya terlalu lama dan berbelit-belit. Antrean di belakangnya masih panjang. Sikap Anda...",Meminta warga tersebut diam karena mengganggu antrean lain,Mengabaikannya dan tetap bekerja seperti biasa agar cepat selesai,"Meminta maaf atas ketidaknyamanan, mendengarkan keluhannya sebentar, menjelaskan prosedur yang sedang berjalan, dan mempercepat prosesnya jika memungkinkan",Meminta petugas keamanan untuk menenangkan warga tersebut di luar loket,Menjelaskan dengan nada tinggi bahwa prosedur memang seperti itu dari pusat,4,3,5,2,1,"Pelayanan Publik. Respons terbaik menghadapi komplain adalah mengendalikan emosi, meminta maaf (empati), memberi penjelasan (edukasi SOP), dan memberi solusi (mempercepat proses).",Pelayanan Publik
67,TKP,Seorang ibu lansia yang tidak bisa membaca dan menulis datang ke instansi Anda untuk mengurus bantuan sosial. Ia kebingungan mengisi formulir pendaftaran. Sikap Anda...,Menyuruhnya mencari anggota keluarga untuk membantunya mengisi formulir,Memberikan contoh formulir yang sudah diisi agar ia bisa menirunya,Memintanya menunggu petugas khusus yang menangani lansia jika ada,"Secara proaktif menghampirinya, menanyakan keperluannya, dan membantunya mengisikan formulir berdasarkan data dari KTP-nya",Meminta warga lain yang sedang antre untuk membantunya,4,3,2,5,1,Pelayanan Publik. Sikap 'jemput bola' dan empati terhadap kaum rentan (lansia/difabel). Membantu mengisikan formulir adalah wujud nyata pelayanan prima.,Pelayanan Publik
68,TKP,"Waktu istirahat siang telah tiba. Saat Anda bersiap untuk makan, seorang warga dari luar kota datang memohon untuk segera dilayani karena ia harus segera mengejar jadwal kereta api untuk pulang. Sikap Anda...",Menyuruhnya datang lagi setelah jam istirahat selesai sesuai SOP,Menerima berkasnya namun baru akan dikerjakan setelah jam istirahat,Menolak dengan halus dan menyarankannya untuk tidak bepergian dengan terburu-buru,Meluangkan waktu istirahat Anda sejenak untuk melayaninya hingga selesai agar ia tidak ketinggalan kereta,Meminta rekan kerja yang belum makan untuk melayaninya,4,3,2,5,1,"Pelayanan Publik. Meskipun SOP mengatur jam istirahat, ASN dituntut memiliki empati dan fleksibilitas dalam kondisi mendesak/darurat (warga luar kota/mengejar jadwal).",Pelayanan Publik
69,TKP,"Anda melihat fasilitas jalur kursi roda (ramp) di pintu masuk kantor rusak dan membahayakan warga difabel. Sebagai staf administrasi biasa, yang Anda lakukan adalah...",Membiarkannya karena itu adalah urusan bagian sarana dan prasarana,Menulis keluhan di grup WhatsApp kantor agar dibaca oleh pimpinan,"Segera melaporkan kerusakan tersebut kepada bagian sarana/prasarana, serta berinisiatif membantu warga difabel yang kesulitan lewat saat itu",Memasang papan peringatan di dekat jalur tersebut,Menyarankan warga difabel untuk tidak datang ke kantor sementara waktu,4,3,5,2,1,"Pelayanan Publik. Proaktif mengatasi masalah yang berkaitan dengan kenyamanan dan keselamatan publik, serta tetap memberikan bantuan langsung (*first response*).",Pelayanan Publik
70,TKP,Seorang warga bertanya kepada Anda mengenai prosedur perizinan yang sebenarnya merupakan wewenang dari instansi lain (bukan instansi tempat Anda bekerja). Sikap Anda...,Menyatakan tidak tahu dan menyuruhnya mencari informasi sendiri di internet,Mengarahkan warga tersebut untuk bertanya ke bagian informasi,"Mendengarkan pertanyaannya, menjelaskan bahwa itu bukan wewenang instansi Anda, dan dengan ramah memberitahukan alamat atau kontak instansi yang tepat",Membantunya mengurus perizinan tersebut meskipun bukan wewenang Anda,Mengabaikannya karena Anda sedang sibuk dengan pekerjaan Anda sendiri,4,3,5,2,1,"Pelayanan Publik. ASN harus *hospitality-oriented*. Meski bukan wewenangnya, memberikan arahan informasi yang tepat adalah bentuk pelayanan dasar yang baik.",Pelayanan Publik
71,TKP,Ada warga yang menuliskan kritik pedas dan kata-kata kurang pantas di kotak saran kantor mengenai kinerja Anda secara spesifik. Atasan memanggil Anda untuk mengklarifikasi hal tersebut. Sikap Anda...,Membela diri dengan keras dan menuduh warga tersebut memiliki sentimen pribadi,"Menerima kritik tersebut dengan lapang dada, mengevaluasi diri, dan berkomitmen untuk memperbaiki kinerja pelayanan ke depannya",Mencari tahu siapa warga yang menulis saran tersebut untuk meminta penjelasan,Meminta atasan untuk mengabaikan saran tersebut karena menggunakan kata-kata kasar,Merasa sedih dan mogok kerja selama beberapa hari,4,5,3,2,1,"Pelayanan Publik & Profesionalisme. Menerima kritik (*feedback*) sebagai bahan evaluasi dan perbaikan diri (growth mindset), terlepas dari cara penyampaian kritik tersebut.",Pelayanan Publik
72,TKP,"Anda ditempatkan di bagian *front office*. Hari ini, rekan kerja yang bertugas di bagian *back office* (pengolahan data) tidak masuk, sehingga data menumpuk dan pelayanan di depan menjadi ikut terhambat. Langkah Anda...",Hanya fokus pada pekerjaan *front office* dan membiarkan warga menunggu,Menutup sementara layanan *front office* untuk mengerjakan data di belakang,"Tetap melayani di *front office* sambil sesekali mencicil pekerjaan *back office* jika antrean sedang sepi, dan berkoordinasi dengan atasan untuk mencari solusi tenaga pengganti",Mengeluh kepada warga bahwa rekan Anda tidak masuk kerja,Meminta warga untuk ikut membantu menyortir data mereka sendiri,4,3,5,2,1,Pelayanan Publik & Jejaring Kerja. Mampu melakukan *multitasking* dalam kondisi darurat dan tetap mengedepankan koordinasi dengan atasan untuk solusi sistemik.,Pelayanan Publik
73,TKP,Sistem pendaftaran antrean di kantor Anda masih manual. Warga sering berebut nomor antrean di pagi hari. Anda ditugaskan untuk mengatasi masalah ini. Solusi Anda...,Meminta bantuan polisi untuk menertibkan warga setiap pagi,Membiarkan saja karena warga pada akhirnya akan tertib sendiri,Mengusulkan pembuatan sistem antrean digital/elektronik kepada pimpinan agar lebih tertib dan adil,Memarahi warga yang berebut dan tidak mau mengantre dengan rapi,Membuka loket lebih siang agar warga lelah menunggu dan tidak berebut,4,3,5,2,1,Pelayanan Publik & TIK. Memberikan solusi inovatif berkelanjutan (*continuous improvement*) dengan memanfaatkan teknologi untuk mengatasi masalah antrean konvensional.,Pelayanan Publik
74,TKP,"Anda ditempatkan dalam sebuah tim proyek yang anggota-anggotanya belum Anda kenal sama sekali, dan mereka tampak sudah memiliki kelompok pertemanan (klik) masing-masing. Sikap Anda...",Menunggu mereka untuk menyapa dan mengajak Anda bergabung,Hanya berbicara dengan mereka jika ada urusan pekerjaan yang mendesak,"Secara proaktif memperkenalkan diri dengan ramah, mencoba membaur saat istirahat, dan menawarkan bantuan dalam pekerjaan tim",Meminta atasan untuk memindahkan Anda ke tim yang berisi teman-teman lama,Menyendiri di meja kerja dan tidak mempedulikan dinamika kelompok,4,3,5,2,1,"Jejaring Kerja. Membangun hubungan (*networking*) membutuhkan inisiatif dan sikap proaktif, terutama di lingkungan yang baru.",Jejaring Kerja
