number,segment,content,option_a,option_b,option_c,option_d,option_e,score_a,score_b,score_c,score_d,score_e,discussion,sub_category
29,TWK,Penyusunan kalimat efektif wajib memenuhi syarat kehematan kata. Kalimat yang merupakan contoh pemborosan kata (pleonasme) dalam dokumen laporan birokrasi adalah...,Kementerian Sosial mendistribusikan bantuan logistik ke berbagai wilayah terdampak gempa bumi.,"Demi untuk kelancaran acara peresmian jalan tol tersebut, panitia telah berkoordinasi dengan aparat kepolisian lalu lintas.",Seluruh pegawai negeri sipil diwajibkan mengisi laporan harta kekayaan secara daring paling lambat akhir bulan ini.,Gubernur meresmikan rumah sakit umum daerah yang baru selesai dibangun dengan dana alokasi khusus.,Penyesuaian tarif listrik perlu disosialisasikan secara komprehensif agar tidak menimbulkan gejolak sosial di masyarakat.,0,5,0,0,0,Pemborosan kata (pleonasme) terjadi pada Opsi B: 'Demi untuk'. Kedua kata tersebut merupakan preposisi yang memiliki fungsi kemiripan makna. Seharusnya dipilih salah satu saja: 'Demi kelancaran...' atau 'Untuk kelancaran...'.,Bahasa Negara
30,TWK,"Sistem pertahanan keamanan rakyat semesta (Sishankamrata) di Indonesia tidak mengadopsi wajib militer murni (*conscription*) seperti di Korea Selatan, melainkan mengedepankan sistem komponen cadangan sukarela. Keunggulan filosofis kebijakan ini yang selaras dengan nilai demokrasi Pancasila adalah...",Menghemat anggaran negara sehingga dananya dapat dialihkan seluruhnya untuk program infrastruktur fisik,Mencegah lahirnya masyarakat sipil yang terlalu mandiri secara militer sehingga berisiko memberontak,Menyeimbangkan antara kewajiban konstitusional membela negara dengan penghargaan terhadap hak asasi manusia untuk memilih jalur pengabdian,Menyerahkan urusan keamanan wilayah perbatasan sepenuhnya kepada bantuan pasukan perdamaian internasional,Memastikan bahwa profesi militer hanya diisi oleh elit tertentu yang memiliki kekayaan dan koneksi politik yang kuat,0,0,5,0,0,"Bela negara di Indonesia menghargai Demokrasi dan HAM. Pengabdian militer tidak dipaksakan kaku secara fisik ke semua warga (seperti Korsel). Komponen Cadangan bersifat sukarela, menyeimbangkan kewajiban bela negara tanpa pemaksaan otoriter.",Bela Negara
31,TIU,AMNESTI : PIDANA = ... : ...,Grasi : Hukuman,Abolisi : Tuntutan,Rehabilitasi : Nama Baik,Remisi : Masa Tahanan,Ekstradisi : Buronan,0,5,0,0,0,"Analogi Fungsi (Penghapusan). Amnesti adalah tindakan kepala negara untuk MENGHAPUSKAN pidana (hukuman) seseorang. Abolisi adalah tindakan untuk MENGHAPUSKAN tuntutan hukum. Grasi dan remisi hanya mengurangi, bukan menghapus.",Analogi
32,TIU,KARBOHIDRAT : GLUKOSA : ENERGI = ... : ... : ...,Protein : Asam Amino : Otot,Lemak : Kolesterol : Kalori,Kalsium : Tulang : Gigi,Vitamin : Mineral : Kekebalan,Oksigen : Paru-paru : Darah,5,0,0,0,0,Analogi Proses Pemecahan dan Fungsi. Karbohidrat dipecah menjadi glukosa yang berfungsi untuk membentuk energi. Protein dipecah menjadi asam amino yang berfungsi untuk membentuk/memperbaiki otot.,Analogi
33,TIU,GAGAP : BICARA = ... : ...,Katarak : Mata,Tuli : Telinga,Pincang : Berjalan,Kidal : Tangan,Rabun : Jauh,0,0,5,0,0,"Analogi Gangguan Fungsi. Gagap adalah gangguan dalam fungsi bicara. Pincang adalah gangguan dalam fungsi berjalan. Tuli/Katarak adalah nama penyakit/kondisi organnya, bukan fungsi geraknya.",Analogi
34,TIU,"Jika inflasi naik, maka daya beli masyarakat turun. Jika daya beli masyarakat turun, maka omzet ritel menurun. Saat ini omzet ritel tidak menurun atau tingkat pengangguran bertambah. Ternyata tingkat pengangguran di kuartal ini tidak bertambah. Kesimpulan yang tepat adalah...",Inflasi sedang naik secara perlahan,Inflasi tidak naik,Daya beli masyarakat mengalami penurunan drastis,Omzet perusahaan ritel menurun namun inflasi stabil,Inflasi naik dan tingkat pengangguran stabil,0,5,0,0,0,"Silogisme berantai & Modus Tollens. Premis 3 (Disjungsi): Omzet tidak turun ATAU pengangguran bertambah. Fakta: Pengangguran TIDAK bertambah. Maka, Omzet TIDAK turun. Karena omzet tidak turun, daya beli TIDAK turun. Karena daya beli tidak turun, inflasi TIDAK naik.",Silogisme
35,TIU,Semua peserta proyek yang disiplin selalu mengumpulkan laporan tepat waktu. Sebagian peserta yang mengumpulkan laporan tepat waktu mendapatkan bonus kuartalan. Pak Budi adalah peserta yang selalu mengumpulkan laporan tepat waktu. Kesimpulan yang paling tepat adalah...,Pak Budi pasti mendapatkan bonus kuartalan,Pak Budi mungkin tidak mendapatkan bonus kuartalan,Pak Budi adalah peserta yang disiplin dan mendapat bonus,Semua peserta disiplin pasti mendapatkan bonus kuartalan,Sebagian peserta yang tidak disiplin mendapatkan bonus,0,5,0,0,0,"Logika Penalaran Silogisme: Premis 1 (Semua P adalah Q) dan Premis 2 (Ada X adalah Q) merupakan bentuk kesalahan logika 'Affirming the Consequent'. Memenuhi syarat akibat (Q) tidak menjamin pemenuhan syarat sebab (P). Oleh karena itu, tidak dapat ditarik kesimpulan yang pasti benar mengenai status X apakah termasuk P atau tidak.",Silogisme
36,TIU,Tidak ada atlet e-sport profesional di klub X yang malas berlatih. Beberapa mahasiswa berprestasi adalah atlet e-sport profesional di klub X. Kesimpulan yang tepat adalah...,Beberapa mahasiswa berprestasi malas berlatih,Semua mahasiswa berprestasi tidak malas berlatih,Beberapa atlet e-sport profesional bukan mahasiswa,Beberapa mahasiswa berprestasi tidak malas berlatih,Semua atlet e-sport adalah mahasiswa berprestasi,0,0,0,5,0,Silogisme Kategoris. P1: Semua Atlet X = Tidak malas. P2: Beberapa Mahasiswa = Atlet X. Irisan dari P1 dan P2 adalah: Beberapa mahasiswa (yang menjadi atlet X) itu pasti tidak malas berlatih.,Silogisme
37,TIU,"Lima buah mobil dengan warna berbeda diparkir berderet. Mobil Merah tidak diparkir bersebelahan dengan mobil Putih. Mobil Hitam berada tepat di sebelah kanan mobil Putih. Mobil Perak diparkir di antara mobil Merah dan Biru. Jika mobil Biru berada di ujung paling kiri, maka warna mobil yang berada tepat di tengah adalah...",Biru,Perak,Merah,Putih,Hitam,0,0,5,0,0,"Penalaran Posisi (Revisi). Biru di ujung kanan (Posisi 5). Perak di antara Merah dan Biru -> Merah(3), Perak(4), Biru(5). Sisa Putih dan Hitam di 1,2. Susunan: Putih-Hitam-Merah-Perak-Biru. Posisi tengah (3) adalah Merah. Jawaban C.",Analitis
38,TIU,"Dalam sebuah rapat komite, enam orang (A, B, C, D, E, F) duduk mengelilingi meja bundar. A duduk berhadapan langsung dengan C. B duduk di antara A dan D. E duduk tepat di sebelah kanan C. Siapakah yang duduk tepat berhadapan dengan B?",A,C,D,E,F,0,0,0,5,0,"Penalaran Melingkar (6 kursi). A (kursi 1) berhadapan dengan C (kursi 4). E di kanan C -> E di kursi 3. B di antara A dan D. Berarti B dan D ada di sisa kursi (5, 6, dan 2). Agar B di antara A(1) dan D, B harus di kursi 6 dan D di kursi 5 ATAU B di kursi 2 dan D di kursi 3. Karena kursi 3 diisi E, maka B di kursi 6 dan D di kursi 5. F otomatis di kursi 2. Yang berhadapan dengan B (kursi 6) adalah kursi 3, yaitu E.",Analitis
39,TIU,"Dalam sebuah kompetisi balap lari, Pelari P melintasi garis *finish* sebelum Q, tetapi sesudah R. Pelari S melintasi garis *finish* sesudah Q dan T. Pelari T melintasi garis *finish* sebelum P. Jika tidak ada yang mencapai *finish* bersamaan, siapakah yang berada di urutan ketiga?",P,Q,R,S,T,5,0,0,0,0,"Penalaran Urutan. Dari premis 1: R > P > Q. Dari premis 3: T > P. Maka P ada di bawah R dan T (urutan 1 dan 2 bisa R atau T). P pasti urutan ke-3. Dari premis 2: S ada di bawah Q dan T, maka Q > S. Urutan utuhnya: (R, T) > P > Q > S. Pelari ketiga pasti P.",Analitis
40,TIU,"Panitia menyiapkan sebuah nomor ujian acak. Jika Andi mengingat bahwa nomor ujiannya adalah hasil dari hitungan (0.625 / 0.875) x kuadrat akar 0.49 ditambah 1.2, maka nomor ujian Andi adalah...",1.4,1.5,1.6,1.7,1.8,0,0,0,5,0,Pecahan & Desimal. 0.625 adalah $$5/8$$. 0.875 adalah $$7/8$$. Maka ($$5/8$$) / ($$7/8$$) = $$5/7$$. Akar dari 0.49 adalah 0.7 (atau $$7/10$$). Maka ($$5/7$$) x ($$7/10$$) = $5/10$ = 0.5. Terakhir ditambahkan 1.2 -> 0.5 + 1.2 = 1.7,Berhitung
41,TIU,Diketahui nilai X = $3^4$ - $4^3$ dan nilai Y = $5^2$ - $2^5$. Pernyataan yang benar mengenai hubungan X dan Y adalah...,X > Y,X < Y,X = Y,X + $Y = 0$,Hubungan X dan Y tidak dapat ditentukan,5,0,0,0,0,Eksponen Dasar. $X = 81$ - 64 = 17. $Y = 25$ - 32 = -7. Maka X (17) lebih besar daripada Y (-7).,Berhitung
42,TIU,"Berapakah nilai dari 33,33% x 0,15 + 16,67% x 0,12 ?",0.05,0.06,0.07,0.08,0.09,0,0,5,0,0,"Pecahan Istimewa. 33,33% sama dengan $$1/3$$. 16,67% sama dengan $$1/6$$. ($$1/3$$ x 0.15) + ($$1/6$$ x 0.12) = 0.05 + 0.02 = 0.07.",Berhitung
43,TIU,"Perhatikan barisan bilangan berikut: 3, 5, 9, 17, 33, 65, ... Angka selanjutnya yang tepat untuk mengisi deret tersebut adalah...",97,112,129,132,145,0,0,5,0,0,"Pola Deret Bertingkat (Selisih). Selisih angka: 2, 4, 8, 16, 32, 64 (selisihnya dikali 2). Maka angka selanjutnya adalah $65 + 64 = 129$.",Deret Angka
44,TIU,"Tentukan angka selanjutnya dari deret berikut: 2, 5, 11, 23, 47, ...",85,92,94,95,101,0,0,0,5,0,"Pola Operasi Ganda. Aturan deret ini adalah dikali 2, lalu ditambah 1 (x2 + 1). $2x2+1 = 5$. $5x2+1=11$. $11x2+1=23$. $47x2+1 = 95$.",Deret Angka
45,TIU,"Sebuah barisan pecahan terpola: $1/2$, $5/6$, $7/6$, $3/2$, $11/6$, ... Pecahan selanjutnya dalam deret tersebut adalah...",$13/6$,$7/3$,$5/2$,$17/6$,3,5,0,0,0,0,"Deret Pecahan. Samakan penyebutnya menjadi 6. Barisannya menjadi: $3/6$, $5/6$, $7/6$, $9/6$ (yang disederhanakan jadi $3/2$), $11/6$. Pembilang ditambah 2 secara berurutan. Berikutnya adalah 1$3/6$.",Deret Angka
46,TIU,Diketahui A adalah jumlah seluruh bilangan genap antara 1 hingga 30. Sedangkan B adalah jumlah seluruh bilangan ganjil antara 1 hingga 30. Manakah hubungan kuantitatif yang benar?,A > B,B > A,A = B,A = B + 15,Hubungan tidak dapat ditentukan,0,5,0,0,0,"Analisis Deret Kuantitatif. Bilangan antara 1 dan 30 artinya (2 sampai 29). Genap: 2,4,6...28 (14 angka). Ganjil: 3,5,7...29 (14 angka). Karena setiap bilangan ganjil pada urutan tersebut selalu bernilai +1 lebih besar dari pasangan genapnya (3>2, 5>4, dst), maka total B pasti lebih besar dari A.",Perbandingan Kuantitatif
47,TIU,"Jika P adalah luas lingkaran dengan diameter 14 cm, dan Q adalah luas sebuah persegi yang memiliki keliling 44 cm. Hubungan P dan Q adalah (Gunakan $\pi$ = $22/7$) ...",P > Q,Q > P,P = Q,$P + Q = 200$,Tidak dapat ditentukan,5,0,0,0,0,Geometri Dasar. P = $\pi$ x $r^2$ = $22/7$ x 7 x 7 = 154 cm2. Q: keliling persegi 44 cm -> sisi = 11 cm. Luas Q = 11 x 11 = 121 cm2. Maka P > Q.,Perbandingan Kuantitatif
48,TIU,"Andi membeli kemeja seharga X rupiah setelah mendapat diskon 20%. Budi membeli kemeja yang sama dengan harga awal yang sama, namun ia menggunakan dua buah kupon diskon beruntun yaitu 10% dan 10%, membayarnya dengan harga Y rupiah. Hubungan X dan Y adalah...",X > Y,X < Y,X = Y,X - $Y = 10$.000,Tidak dapat ditentukan,0,5,0,0,0,"Diskon Bertingkat. Harga awal misal 100. X = Diskon 20% = 80. Y = Diskon 10% (jadi 90), didiskon 10% lagi dari 90 (diskon 9) = 81. Maka X (80) < Y (81). Budi membayar lebih mahal.",Perbandingan Kuantitatif
49,TIU,"Sebuah pekerjaan pengecatan dapat diselesaikan oleh Anton dalam 12 hari, oleh Beni dalam 15 hari, dan oleh Candra dalam 20 hari. Jika mereka bertiga bekerja bersama-sama selama 3 hari, lalu Anton dan Beni dipindah ke proyek lain, maka sisa pekerjaan tersebut akan diselesaikan oleh Candra sendirian dalam waktu... hari.",5,6,7,8,9,0,0,0,5,0,"Kecepatan Kerja Gabungan. Laju Anton $$1/12$$, Beni $$1/15$$, Candra $1/20$ per hari. Bersama: $$1/12$$+$$1/15$$+$1/20$ = $12/60$ = $1/5$ bagian per hari. Dalam 3 hari selesai $3/5$ bagian. Sisanya $$2/5$$ bagian dikerjakan Candra. Waktu Candra = ($$2/5$$) / ($1/20$) = 8 hari.",Soal Cerita
50,TIU,"Seorang pedagang sepatu menjual barang dagangannya dengan keuntungan 20% dari harga beli. Jika dari *supplier* harga beli sepatu tersebut turun 10%, dan pedagang tetap menjualnya dengan nominal harga jual yang sama seperti sebelumnya, maka persentase keuntungan pedagang sekarang menjadi...",28.5%,30.0%,33.3%,35.5%,40.0%,0,0,5,0,0,"Aritmatika Sosial. Misal Harga Beli awal (HB) = 100. Harga Jual (HJ) = 120 (untung 20%). HB baru turun 10% = 90. HJ tetap 120. Untung nominal = $120 - 90 = 30$. Persentase untung dari modal baru = 30 / 90 = $1/3$ = 33,33%.",Soal Cerita
51,TIU,Mobil X berangkat dari Jakarta menuju Bandung pada pukul 07.00 dengan kecepatan konstan 40 km/jam. Mobil Y menyusul dari tempat yang sama menuju rute yang sama pada pukul 07.30 dengan kecepatan konstan 60 km/jam. Pada pukul berapakah Mobil Y tepat menyusul Mobil X?,08.15,08.30,08.45,09.00,09.15,0,5,0,0,0,"Jarak Susul-menyusul. Saat Mobil Y berangkat (07.30), Mobil X sudah berjalan 30 menit (0.5 jam) dengan jarak 40 x 0.5 = 20 km. Waktu menyusul = Jarak selisih / (Kecepatan Y - Kecepatan X) = 20 / (60 - 40) = 1 jam. Waktu = 07.30 + 1 jam = 08.30.",Soal Cerita
52,TIU,"Dalam sebuah rapat pleno, terdapat 8 orang delegasi dari divisi yang berbeda. Sebelum rapat dimulai, protokoler mewajibkan semua delegasi untuk saling berjabat tangan tepat satu kali. Berapa banyak total jabat tangan yang terjadi di ruangan tersebut?",16,24,28,32,56,0,0,5,0,0,Kombinatorik (Kombinasi). Bersalaman melibatkan 2 orang dari 8 orang tanpa memperhatikan urutan (Kombinasi 8C2). 8! / (2! x 6!) = (8 x 7) / 2 = 28 jabat tangan.,Soal Cerita
53,TIU,"Saat ini umur Pak Darmawan adalah 4 kali umur anaknya. Lima tahun yang lalu, umur Pak Darmawan adalah 7 kali umur anaknya. Berapakah umur Pak Darmawan saat ini?",32 tahun,36 tahun,40 tahun,44 tahun,48 tahun,0,0,5,0,0,Sistem Persamaan Linear. Model matematika: D = 4A. Lima tahun lalu: $D-5 = 7$(A-5). Substitusi: $4A-5 = 7A$-35. 3A = 30 -> A (Anak) = 10 tahun. Maka umur Pak Darmawan (D) = 4 x 10 = 40 tahun.,Soal Cerita
54,TIU,![Soal](https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/Latihan3_Figural/Q54/analogi_prob_1773849813066.png) **Analogi Gambar:** Perhatikan hubungan gambar pertama dan kedua. Pilihlah gambar yang tepat untuk melengkapi pasangan kedua berdasarkan pola yang ada:,![A](https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/Latihan3_Figural/Q54/opt_a_1773849814067.png),![B](https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/Latihan3_Figural/Q54/opt_b_1773849814224.png),![C](https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/Latihan3_Figural/Q54/opt_c_1773849814366.png),![D](https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/Latihan3_Figural/Q54/opt_d_1773849814500.png),![E](https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/Latihan3_Figural/Q54/opt_e_1773849814635.png),5,0,0,0,0,"**Analogi Gambar.** Pasangan pertama (gambar 1 ke 2) menunjukkan pola hubungan transformasi berikut: • Position: Aritmatika (Penjumlahan/Pengurangan)\n• Bentuk (Shape): Tetap (Konstan)\n• Ukuran: Distribusi Tiga Unsur (Siklus Berulang)\n• Warna atau Intensitas/Arsir: Perkembangan (Meningkat/Menurun). Dengan menerapkan aturan yang sama pada gambar ketiga, maka gambar yang melengkapi analogi tersebut adalah yang memiliki hubungan serupa, yaitu opsi **A**.",Analogi Gambar
55,TIU,![Soal](https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/Latihan3_Figural/Q55/analogi_prob_1773849814825.png) **Analogi Gambar:** Perhatikan hubungan gambar pertama dan kedua. Pilihlah gambar yang tepat untuk melengkapi pasangan kedua berdasarkan pola yang ada:,![A](https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/Latihan3_Figural/Q55/opt_a_1773849815002.png),![B](https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/Latihan3_Figural/Q55/opt_b_1773849815139.png),![C](https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/Latihan3_Figural/Q55/opt_c_1773849815281.png),![D](https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/Latihan3_Figural/Q55/opt_d_1773849815411.png),![E](https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/Latihan3_Figural/Q55/opt_e_1773849815523.png),5,0,0,0,0,"**Analogi Gambar.** Pasangan pertama (gambar 1 ke 2) menunjukkan pola hubungan transformasi berikut: • Number: Perkembangan (Meningkat/Menurun)\n• Bentuk (Shape): Tetap (Konstan)\n• Ukuran: Aritmatika (Penjumlahan/Pengurangan)\n• Warna atau Intensitas/Arsir: Distribusi Tiga Unsur (Siklus Berulang). Dengan menerapkan aturan yang sama pada gambar ketiga, maka gambar yang melengkapi analogi tersebut adalah yang memiliki hubungan serupa, yaitu opsi **A**.",Analogi Gambar
56,TIU,![Soal](https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/Latihan3_Figural/Q56/analogi_prob_1773849815707.png) **Analogi Gambar:** Perhatikan hubungan gambar pertama dan kedua. Pilihlah gambar yang tepat untuk melengkapi pasangan kedua berdasarkan pola yang ada:,![A](https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/Latihan3_Figural/Q56/opt_a_1773849815842.png),![B](https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/Latihan3_Figural/Q56/opt_b_1773849815979.png),![C](https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/Latihan3_Figural/Q56/opt_c_1773849816110.png),![D](https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/Latihan3_Figural/Q56/opt_d_1773849816228.png),![E](https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/Latihan3_Figural/Q56/opt_e_1773849816366.png),0,0,0,0,5,"**Analogi Gambar.** Pasangan pertama (gambar 1 ke 2) menunjukkan pola hubungan transformasi berikut: • Position: Aritmatika (Penjumlahan/Pengurangan)\n• Bentuk (Shape): Perkembangan (Meningkat/Menurun)\n• Ukuran: Tetap (Konstan)\n• Warna atau Intensitas/Arsir: Tetap (Konstan). Dengan menerapkan aturan yang sama pada gambar ketiga, maka gambar yang melengkapi analogi tersebut adalah yang memiliki hubungan serupa, yaitu opsi **E**.",Analogi Gambar
57,TIU,![Soal](https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/Latihan3_Figural/Q57/analogi_prob_1773849816523.png) **Analogi Gambar:** Perhatikan hubungan gambar pertama dan kedua. Pilihlah gambar yang tepat untuk melengkapi pasangan kedua berdasarkan pola yang ada:,![A](https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/Latihan3_Figural/Q57/opt_a_1773849816650.png),![B](https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/Latihan3_Figural/Q57/opt_b_1773849816766.png),![C](https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/Latihan3_Figural/Q57/opt_c_1773849816907.png),![D](https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/Latihan3_Figural/Q57/opt_d_1773849817048.png),![E](https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/Latihan3_Figural/Q57/opt_e_1773849817192.png),0,0,0,0,5,"**Analogi Gambar.** Pasangan pertama (gambar 1 ke 2) menunjukkan pola hubungan transformasi berikut: • Jumlah atau Posisi: Tetap (Konstan)\n• Bentuk (Shape): Distribusi Tiga Unsur (Siklus Berulang)\n• Ukuran: Distribusi Tiga Unsur (Siklus Berulang)\n• Warna atau Intensitas/Arsir: Distribusi Tiga Unsur (Siklus Berulang)\n• Jumlah atau Posisi: Tetap (Konstan)\n• Bentuk (Shape): Perkembangan (Meningkat/Menurun)\n• Ukuran: Tetap (Konstan)\n• Warna atau Intensitas/Arsir: Distribusi Tiga Unsur (Siklus Berulang). Dengan menerapkan aturan yang sama pada gambar ketiga, maka gambar yang melengkapi analogi tersebut adalah yang memiliki hubungan serupa, yaitu opsi **E**.",Analogi Gambar
58,TIU,"**Ketidaksamaan Gambar:** Di antara lima gambar berikut, manakah gambar yang memiliki pola atau karakteristik logika yang PALING BERBEDA/tidak sejalan dengan yang lainnya?",![A](https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/Latihan3_Figural/Q58/opt_a_1773849817481.png),![B](https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/Latihan3_Figural/Q58/opt_b_1773849817596.png),![C](https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/Latihan3_Figural/Q58/opt_c_1773849817705.png),![D](https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/Latihan3_Figural/Q58/opt_d_1773849817826.png),![E](https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/Latihan3_Figural/Q58/opt_e_1773849817949.png),0,0,0,0,5,**Ketidaksamaan Gambar.** Empat gambar dalam pilihan memiliki kesamaan pola struktur visual yaitu 'in center single out center single' dengan aturan: • Jumlah atau Posisi: Tetap (Konstan)\n• Bentuk (Shape): Tetap (Konstan)\n• Ukuran: Distribusi Tiga Unsur (Siklus Berulang)\n• Warna atau Intensitas/Arsir: Tetap (Konstan)\n• Jumlah atau Posisi: Tetap (Konstan)\n• Bentuk (Shape): Perkembangan (Meningkat/Menurun)\n• Ukuran: Tetap (Konstan)\n• Warna atau Intensitas/Arsir: Aritmatika (Penjumlahan/Pengurangan). Opsi **E** adalah yang paling berbeda karena mengikuti pola logika 'distribute four' yang tidak sejalan dengan kelompok utama.,Ketidaksamaan Gambar
59,TIU,"**Ketidaksamaan Gambar:** Di antara lima gambar berikut, manakah gambar yang memiliki pola atau karakteristik logika yang PALING BERBEDA/tidak sejalan dengan yang lainnya?",![A](https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/Latihan3_Figural/Q59/opt_a_1773849818196.png),![B](https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/Latihan3_Figural/Q59/opt_b_1773849818477.png),![C](https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/Latihan3_Figural/Q59/opt_c_1773849818673.png),![D](https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/Latihan3_Figural/Q59/opt_d_1773849818813.png),![E](https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/Latihan3_Figural/Q59/opt_e_1773849818922.png),0,0,5,0,0,**Ketidaksamaan Gambar.** Empat gambar dalam pilihan memiliki kesamaan pola struktur visual yaitu 'distribute nine' dengan aturan: • Position: Perkembangan (Meningkat/Menurun)\n• Bentuk (Shape): Perkembangan (Meningkat/Menurun)\n• Ukuran: Tetap (Konstan)\n• Warna atau Intensitas/Arsir: Distribusi Tiga Unsur (Siklus Berulang). Opsi **C** adalah yang paling berbeda karena mengikuti pola logika 'distribute four' yang tidak sejalan dengan kelompok utama.,Ketidaksamaan Gambar
60,TIU,"**Ketidaksamaan Gambar:** Di antara lima gambar berikut, manakah gambar yang memiliki pola atau karakteristik logika yang PALING BERBEDA/tidak sejalan dengan yang lainnya?",![A](https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/Latihan3_Figural/Q60/opt_a_1773849819249.png),![B](https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/Latihan3_Figural/Q60/opt_b_1773849819471.png),![C](https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/Latihan3_Figural/Q60/opt_c_1773849819698.png),![D](https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/Latihan3_Figural/Q60/opt_d_1773849819823.png),![E](https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/Latihan3_Figural/Q60/opt_e_1773849820310.png),0,5,0,0,0,**Ketidaksamaan Gambar.** Empat gambar dalam pilihan memiliki kesamaan pola struktur visual yaitu 'left center single right center single' dengan aturan: • Jumlah atau Posisi: Tetap (Konstan)\n• Bentuk (Shape): Tetap (Konstan)\n• Ukuran: Tetap (Konstan)\n• Warna atau Intensitas/Arsir: Perkembangan (Meningkat/Menurun)\n• Jumlah atau Posisi: Tetap (Konstan)\n• Bentuk (Shape): Perkembangan (Meningkat/Menurun)\n• Ukuran: Tetap (Konstan)\n• Warna atau Intensitas/Arsir: Distribusi Tiga Unsur (Siklus Berulang). Opsi **B** adalah yang paling berbeda karena mengikuti pola logika 'in distribute four out center single' yang tidak sejalan dengan kelompok utama.,Ketidaksamaan Gambar
61,TIU,"**Ketidaksamaan Gambar:** Di antara lima gambar berikut, manakah gambar yang memiliki pola atau karakteristik logika yang PALING BERBEDA/tidak sejalan dengan yang lainnya?",![A](https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/Latihan3_Figural/Q61/opt_a_1773849820688.png),![B](https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/Latihan3_Figural/Q61/opt_b_1773849820790.png),![C](https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/Latihan3_Figural/Q61/opt_c_1773849821243.png),![D](https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/Latihan3_Figural/Q61/opt_d_1773849821587.png),![E](https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/Latihan3_Figural/Q61/opt_e_1773849821744.png),0,0,5,0,0,**Ketidaksamaan Gambar.** Empat gambar dalam pilihan memiliki kesamaan pola struktur visual yaitu 'center single' dengan aturan: • Jumlah atau Posisi: Tetap (Konstan)\n• Bentuk (Shape): Tetap (Konstan)\n• Ukuran: Distribusi Tiga Unsur (Siklus Berulang)\n• Warna atau Intensitas/Arsir: Distribusi Tiga Unsur (Siklus Berulang). Opsi **C** adalah yang paling berbeda karena mengikuti pola logika 'left center single right center single' yang tidak sejalan dengan kelompok utama.,Ketidaksamaan Gambar
