number,segment,sub_category,content,image_url,option_a,option_b,option_c,option_d,option_e,score_a,score_b,score_c,score_d,score_e,discussion,option_image_a,option_image_b,option_image_c,option_image_d,option_image_e
44,TIU,Kemampuan Verbal,,Gula : Manis : Diabetes,Olah Raga : Sehat : Juara,Kemarau : Kekeringan : Gagal Panen,Belajar : Pintar : Sukses,Hujan : Banjir : Macet,0,0,5,0,0,"Hubungan kausalitas berantai yang bernilai negatif. Kebodohan menyebabkan kemiskinan, kemiskinan (seringkali) menyebabkan kriminalitas. Kemarau panjang menyebabkan kekeringan, kekeringan menyebabkan gagal panen. Opsi D kurang tepat karena macet bukan efek langsung/absolut bencana alam pada hasil primer.",,,,,,
45,TIU,Kemampuan Numerik,,16.900,21.000,33.800,11.025,26.450,0,0,0,5,0,"Huruf vokal (A,I,U,E,O) = 5. Angka genap (0,2,4,6,8) = 5. Huruf konsonan (26 total huruf - 5 vokal) = 21. Boleh berulang, jadi slot ketiga = 21, slot keempat = 21. Kombinasi = 5 x 5 x 21 x 21 = 25 x 441 = 11.025.",,,,,,
46,TIU,Kemampuan Verbal,,Prajurit : Menang : Gugur,Dokter : Pasien : Sembuh,Petani : Panen : Hama,Guru : Nilai : Siswa,Karyawan : Gaji : Potongan,5,0,0,0,0,"Analogi profesi dan kemungkinan hasil (positif/harapan vs negatif/risiko). Pedagang berharap mendapat laba (positif), risikonya rugi (negatif). Prajurit bertempur berharap menang (positif), risikonya gugur (negatif).",,,,,,
47,TIU,Kemampuan Verbal,,Beberapa siswa kelas XII mendapatkan bimbingan intensif,Semua siswa kelas XII mendapat bimbingan intensif,Siswa yang tidak ikut olimpiade tidak akan lulus di universitas bergengsi,Beberapa siswa kelas XII pasti lulus di universitas negeri bergengsi,Semua siswa yang lulus di universitas bergengsi pernah mengikuti olimpiade,5,0,0,0,0,P1: Olimpiade (A) -> Bimbingan (B). P2: Beberapa kls XII (C) -> Olimpiade (A). Kesimpulan: Beberapa kelas XII (C) mendapat Bimbingan (B). Premis 3 (sebagian yang bimbingan lulus) tidak bisa ditarik kesimpulan mutlak dengan kelas XII. Opsi C adalah kesimpulan yang paling pasti (Syllogism Kategoris Darii).,,,,,,
48,TIU,Kemampuan Verbal,,"U, S, P, Q, R, T","P, S, U, Q, R, T","P, S, U, R, Q, T","S, U, P, Q, R, T","P, S, U, Q, T, R",0,5,0,0,0,"(1) S di antara P dan U -> P-S-U atau U-S-P. (3) U tepat di depan Q -> U-Q. Jika digabung dengan P-S-U, menjadi P-S-U-Q. (2) R di depan T, di belakang Q -> Q...R...T. Gabungan utuh: P - S - U - Q - R - T.",,,,,,
49,TIU,Kemampuan Verbal,,N,K,J,M,L,0,0,0,0,5,"Jadwal: Sn, Sl, Rb, Km, Jm. (3) K = Rabu. (2) J = Selasa. Sisa Sn, Km, Jm. (1) L harus tepat sebelum M (blok L-M). Ruang kosong berurutan hanya ada di Km-Jm. Maka L = Kamis, M = Jumat. Sisa N untuk hari Senin. Jadi, Kamis = L.",,,,,,
50,TIU,Kemampuan Numerik,,"1,5","0,5","0,8","1,0","1,2",0,0,0,5,0,Atas: 6/8 + 4/8 - 5/8 = 5/8. Bawah: 1/4 x 5/2 = 5/8. Maka (5/8) / (5/8) = 1.,,,,,,
51,TIU,Kemampuan Numerik,,105,110,100,102,95,0,0,0,5,0,"Selisih tingkat 1: 5, 7, 11, 17, 25. Selisih tingkat 2: 2, 4, 6, 8 (barisan genap). Maka selisih tingkat 2 berikutnya adalah 10. Selisih tingkat 1 berikutnya: 25 + 10 = 35. Angka berikutnya: 67 + 35 = 102.",,,,,,
52,TIU,Kemampuan Numerik,,"N, 49","M, 36","M, 49","N, 36","O, 36",0,0,0,5,0,"Pola huruf melompat 2 huruf: B(+3)E(+3)H(+3)K(+3)N. Pola angka adalah kuadrat bilangan bulat mulai dari 2: 2^2(4), 3^2(9), 4^2(16), 5^2(25). Berikutnya 6^2 = 36. Jawaban: N, 36.",,,,,,
53,TIU,Kemampuan Numerik,,1600 lembar,1500 lembar,1750 lembar,1650 lembar,1800 lembar,0,5,0,0,0,Kecepatan A = 500/12 = 125/3 lembar/menit. Kecepatan B = 500/15 = 100/3 lembar/menit. Kecepatan gabungan (A+B) = (125+100)/3 = 225/3 = 75 lembar/menit. Dalam 20 menit: 75 x 20 = 1500 lembar.,,,,,,
54,TIU,Kemampuan Numerik,,x = -y,x = y,x > y,Hubungan x dan y tidak dapat ditentukan,x < y,0,5,0,0,0,"Persamaan y^2 + 8y + 16 = 0 difaktorkan menjadi (y + 4)(y + 4) = 0, sehingga akar-akarnya adalah y = -4. Karena x = -4 dan y = -4, maka x = y.",,,,,,
55,TIU,Kemampuan Numerik,,Rp 160.000,Rp 180.000,Rp 140.000,Rp 200.000,Rp 120.000,5,0,0,0,0,"Misal harga awal = P. Diskon 20% -> 0,8P. Diskon 15% dari 0,8P = 0,85 x 0,8P = 0,68P. Harga akhir = 0,68P = 340.000. Maka P = 340.000 / 0,68 = 500.000. Selisih = Harga Awal - Harga Akhir = 500.000 - 340.000 = Rp 160.000.",,,,,,
56,TIU,Kemampuan Figural,https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/figural/latihan2/l2_q56_problem.png,Opsi A,Opsi B,Opsi C,Opsi D,Opsi E,0,5,0,0,0,"Aturan Pola Figural: Number: Progression, Type: Distribute_Three, Size: Progression, Color: Constant. Penjelasan: Analisis perubahan elemen (posisi, ukuran, warna) secara vertikal atau horizontal untuk menemukan pola yang konsisten.",https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/figural/latihan2/l2_q56_opt_A.png,https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/figural/latihan2/l2_q56_opt_B.png,https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/figural/latihan2/l2_q56_opt_C.png,https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/figural/latihan2/l2_q56_opt_D.png,https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/figural/latihan2/l2_q56_opt_E.png,
57,TIU,Kemampuan Figural,https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/figural/latihan2/l2_q57_problem.png,Opsi A,Opsi B,Opsi C,Opsi D,Opsi E,0,0,0,5,0,"Aturan Pola Figural: Number: Arithmetic, Type: Constant, Size: Progression, Color: Progression. Penjelasan: Analisis perubahan elemen (posisi, ukuran, warna) secara vertikal atau horizontal untuk menemukan pola yang konsisten.",https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/figural/latihan2/l2_q57_opt_A.png,https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/figural/latihan2/l2_q57_opt_B.png,https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/figural/latihan2/l2_q57_opt_C.png,https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/figural/latihan2/l2_q57_opt_D.png,https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/figural/latihan2/l2_q57_opt_E.png,
58,TIU,Kemampuan Figural,https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/figural/latihan2/l2_q58_problem.png,Opsi A,Opsi B,Opsi C,Opsi D,Opsi E,0,0,0,5,0,"Aturan Pola Figural: Number/Position: Constant, Type: Constant, Size: Constant, Color: Constant, Number/Position: Constant, Type: Distribute_Three, Size: Constant, Color: Progression. Penjelasan: Analisis perubahan elemen (posisi, ukuran, warna) secara vertikal atau horizontal untuk menemukan pola yang konsisten.",https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/figural/latihan2/l2_q58_opt_A.png,https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/figural/latihan2/l2_q58_opt_B.png,https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/figural/latihan2/l2_q58_opt_C.png,https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/figural/latihan2/l2_q58_opt_D.png,https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/figural/latihan2/l2_q58_opt_E.png,
59,TIU,Kemampuan Figural,https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/figural/latihan2/l2_q59_problem.png,Opsi A,Opsi B,Opsi C,Opsi D,Opsi E,0,0,5,0,0,"Aturan Pola Figural: Number/Position: Constant, Type: Distribute_Three, Size: Distribute_Three, Color: Constant, Number/Position: Constant, Type: Distribute_Three, Size: Progression, Color: Arithmetic. Penjelasan: Analisis perubahan elemen (posisi, ukuran, warna) secara vertikal atau horizontal untuk menemukan pola yang konsisten.",https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/figural/latihan2/l2_q59_opt_A.png,https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/figural/latihan2/l2_q59_opt_B.png,https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/figural/latihan2/l2_q59_opt_C.png,https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/figural/latihan2/l2_q59_opt_D.png,https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/figural/latihan2/l2_q59_opt_E.png,
60,TIU,Kemampuan Figural,https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/figural/latihan2/l2_q60_problem.png,Opsi A,Opsi B,Opsi C,Opsi D,Opsi E,0,0,0,5,0,"Aturan Pola Figural: Number/Position: Constant, Type: Progression, Size: Constant, Color: Arithmetic, Number/Position: Constant, Type: Constant, Size: Distribute_Three, Color: Constant. Penjelasan: Analisis perubahan elemen (posisi, ukuran, warna) secara vertikal atau horizontal untuk menemukan pola yang konsisten.",https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/figural/latihan2/l2_q60_opt_A.png,https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/figural/latihan2/l2_q60_opt_B.png,https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/figural/latihan2/l2_q60_opt_C.png,https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/figural/latihan2/l2_q60_opt_D.png,https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/figural/latihan2/l2_q60_opt_E.png,
61,TIU,Kemampuan Figural,https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/figural/latihan2/l2_q61_problem.png,Opsi A,Opsi B,Opsi C,Opsi D,Opsi E,0,0,0,0,5,"Aturan Pola Figural: Number/Position: Constant, Type: Progression, Size: Progression, Color: Constant, Number/Position: Constant, Type: Constant, Size: Progression, Color: Arithmetic. Penjelasan: Analisis perubahan elemen (posisi, ukuran, warna) secara vertikal atau horizontal untuk menemukan pola yang konsisten.",https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/figural/latihan2/l2_q61_opt_A.png,https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/figural/latihan2/l2_q61_opt_B.png,https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/figural/latihan2/l2_q61_opt_C.png,https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/figural/latihan2/l2_q61_opt_D.png,https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/figural/latihan2/l2_q61_opt_E.png,
62,TIU,Kemampuan Figural,https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/figural/latihan2/l2_q62_problem.png,Opsi A,Opsi B,Opsi C,Opsi D,Opsi E,5,0,0,0,0,"Aturan Pola Figural: Number/Position: Constant, Type: Constant, Size: Constant, Color: Distribute_Three, Number/Position: Constant, Type: Progression, Size: Distribute_Three, Color: Distribute_Three. Penjelasan: Analisis perubahan elemen (posisi, ukuran, warna) secara vertikal atau horizontal untuk menemukan pola yang konsisten.",https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/figural/latihan2/l2_q62_opt_A.png,https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/figural/latihan2/l2_q62_opt_B.png,https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/figural/latihan2/l2_q62_opt_C.png,https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/figural/latihan2/l2_q62_opt_D.png,https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/figural/latihan2/l2_q62_opt_E.png,
63,TIU,Kemampuan Figural,https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/figural/latihan2/l2_q63_problem.png,Opsi A,Opsi B,Opsi C,Opsi D,Opsi E,0,0,5,0,0,"Aturan Pola Figural: Number/Position: Constant, Type: Distribute_Three, Size: Arithmetic, Color: Progression, Number/Position: Constant, Type: Progression, Size: Constant, Color: Arithmetic. Penjelasan: Analisis perubahan elemen (posisi, ukuran, warna) secara vertikal atau horizontal untuk menemukan pola yang konsisten.",https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/figural/latihan2/l2_q63_opt_A.png,https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/figural/latihan2/l2_q63_opt_B.png,https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/figural/latihan2/l2_q63_opt_C.png,https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/figural/latihan2/l2_q63_opt_D.png,https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/figural/latihan2/l2_q63_opt_E.png,
64,TIU,Kemampuan Figural,https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/figural/latihan2/l2_q64_problem.png,Opsi A,Opsi B,Opsi C,Opsi D,Opsi E,0,5,0,0,0,"Aturan Pola Figural: Number/Position: Constant, Type: Constant, Size: Progression, Color: Progression. Penjelasan: Analisis perubahan elemen (posisi, ukuran, warna) secara vertikal atau horizontal untuk menemukan pola yang konsisten.",https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/figural/latihan2/l2_q64_opt_A.png,https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/figural/latihan2/l2_q64_opt_B.png,https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/figural/latihan2/l2_q64_opt_C.png,https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/figural/latihan2/l2_q64_opt_D.png,https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/figural/latihan2/l2_q64_opt_E.png,
65,TIU,Kemampuan Figural,https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/figural/latihan2/l2_q65_problem.png,Opsi A,Opsi B,Opsi C,Opsi D,Opsi E,0,5,0,0,0,"Aturan Pola Figural: Number/Position: Constant, Type: Constant, Size: Distribute_Three, Color: Progression. Penjelasan: Analisis perubahan elemen (posisi, ukuran, warna) secara vertikal atau horizontal untuk menemukan pola yang konsisten.",https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/figural/latihan2/l2_q65_opt_A.png,https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/figural/latihan2/l2_q65_opt_B.png,https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/figural/latihan2/l2_q65_opt_C.png,https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/figural/latihan2/l2_q65_opt_D.png,https://upykjfjmfpwegqrbgeoa.supabase.co/storage/v1/object/public/exam-assets/figural/latihan2/l2_q65_opt_E.png,
66,TKP,Pelayanan Publik,,Menghubungi atasan agar atasan yang turun tangan menghadapi kemarahan masyarakat karena hal tersebut merupakan tanggung jawab pimpinan.,Membalas teriakan warga dengan tegas agar mereka mengerti bahwa kerusakan server bukan kesalahan petugas lapangan.,"Meminta maaf secara terbuka, menjelaskan kendala teknis secara transparan, lalu mencatat data warga secara manual dan menjanjikan akan memprosesnya seketika server pulih.",Memasang papan pengumuman 'Sistem Error' dan meminta seluruh warga untuk pulang dan kembali lagi besok.,Segera meninggalkan meja pelayanan untuk berlindung dan meminta satpam mengambil alih situasi demi keamanan.,4,2,5,3,1,"Pelayanan Publik. Menggabungkan empati, ketenangan emosional, dan inisiatif solusi (pencatatan manual sementara) adalah tindakan bintang 5. Tidak melempar tanggung jawab atau bersikap defensif.",,,,,,
67,TKP,Jejaring Kerja,,Melaporkan Kepala Bidang tersebut langsung ke Inspektorat atau Kepala Dinas karena menghambat program prioritas.,Mengambil alih pencarian data tersebut sendiri tanpa sepengetahuannya agar pekerjaan Anda cepat selesai.,"Membuat laporan apa adanya tanpa data dari bidang tersebut, dan menambahkan keterangan bahwa kesalahan ada di bidang lain.","Meminta pertemuan informal (coffee break) dengannya untuk menyamakan visi, memahami kendalanya, dan menawarkan bantuan teknis agar data bisa ditarik lebih cepat.",Menyurati bidang tersebut berulang kali setiap hari dengan tembusan ke atasan sebagai bukti bahwa Anda sudah berusaha.,2,1,3,5,4,"Jejaring Kerja. Menghadapi 'silo mentality' harus dengan komunikasi persuasif (informal) dan asertif, menawarkan solusi *win-win*, bukan konfrontasi agresif (A/D) atau mengabaikan kolaborasi (B/E).",,,,,,
68,TKP,Sosial Budaya,,Langsung menegur seluruh pegawai di kantor tersebut dengan membacakan PP Disiplin PNS secara keras.,"Beradaptasi dengan ikut serta dalam tradisi tersebut beberapa kali untuk membangun keakraban, lalu secara perlahan menyarankan sistem 'shift' agar pelayanan masyarakat tetap berjalan.",Melaporkan secara rahasia ke BKN pusat agar kantor tersebut diberikan sanksi pemotongan tunjangan.,Mengikuti tradisi tersebut sepenuhnya setiap hari karena di mana bumi dipijak di situ langit dijunjung.,"Menutup diri dan tetap berada di meja kerja melayani masyarakat yang tersisa, membiarkan mereka dengan tradisi mereka.",2,5,1,3,4,"Sosial Budaya & Profesionalisme. Adaptasi budaya penting untuk penerimaan sosial (jejaring kerja/sosbud), namun pelayanan publik tidak boleh berhenti. Mengusulkan *shift* menunjukkan *problem solving* yang elegan tanpa memicu resistensi kultural lokal.",,,,,,
69,TKP,TIK,,Membuatkan *script* otomatis di komputernya agar log hariannya terisi sendiri setiap hari tanpa ia harus mengetik.,"Menolak secara halus dengan alasan kesibukan pribadi, dan menyarankannya meminta tolong kepada staf magang saja.","Menjelaskan secara sopan bahwa memberikan *password* melanggar SOP keamanan cyber, lalu meluangkan waktu 15 menit setiap sore untuk mengajarinya langsung di komputernya hingga ia mandiri.",Menolak dengan kasar dan mengancam akan melaporkannya ke bagian SDM atas pelanggaran integritas.,Menerima tugas tersebut dengan senang hati sebagai bentuk loyalitas dan rasa hormat kepada atasan senior.,4,3,5,2,1,"TIK, Profesionalisme, Integritas. Berbagi akun adalah pelanggaran keamanan siber mendasar. Namun, atasan senior butuh dibantu (bukan dieksekusi tugasnya). Mengedukasi dan mendampingi hingga mandiri menunjukkan ASN yang melek TIK, menjunjung SOP, sekaligus hormat secara profesional.",,,,,,
70,TKP,Profesionalisme,,Menyuruh atasan untuk mengurusnya sendiri karena Anda sudah tidak bisa berpikir jernih menghadapi musibah.,Meninggalkan anak Anda di IGD bersama kerabat dan tetap pergi ke kantor karena tugas negara adalah prioritas mutlak di atas segalanya.,Membawa laptop ke ruang IGD dan mengerjakan finalisasi data tersebut sendirian sambil menangis menemani anak.,"Menghubungi atasan mengabarkan situasi darurat, mendelegasikan otoritas *approval* sementara melalui email resmi kepada wakil/rekan terpercaya, dan mengirimkan file final dari rumah sakit.","Langsung mematikan ponsel dan fokus penuh pada anak di rumah sakit, karena urusan keluarga di saat kritis tidak bisa digantikan.",1,2,4,5,3,Profesionalisme. Menyeimbangkan krisis personal (kemanusiaan) dengan tanggung jawab profesional. Mendelegasikan otoritas secara resmi menunjukkan manajemen risiko dan kapabilitas manajerial yang tangguh saat darurat.,,,,,,
71,TKP,Anti-radikalisme,,Memviralkan percakapan tersebut ke Twitter/X agar teman Anda mendapat sanksi sosial yang berat.,"Diam saja dan sekadar membaca, karena menganggap itu hanya wacana kosong di grup media sosial.","Secara pribadi (japri) menegurnya dengan argumentasi rasional tentang bahaya radikalisme, dan jika ia semakin ekstrem, Anda melaporkannya melalui kanal pengaduan radikalisme BIN/BNPT.",Segera *left group* (keluar dari grup) agar tidak dituduh terlibat dan menghapus nomor telepon teman tersebut.,Berdebat panas di dalam grup tersebut hingga seluruh anggota grup memihak Anda.,1,4,5,2,3,"Anti-radikalisme. Pendekatan persuasif-edukatif secara personal (japri) mencegah konflik horizontal, namun tetap memiliki ketegasan eskalasi pelaporan ke otoritas berwenang jika ada indikasi ancaman makar/radikalisme ekstrem yang riil.",,,,,,
72,TKP,Pelayanan Publik,,Meminta satpam untuk mengusirnya secara halus karena kantor belum siap menerima warga difabel.,"Membiarkannya ditolong oleh warga lain yang kebetulan lewat, karena Anda tidak ingin meninggalkan prosedur jaga loket.","Berteriak dari meja Anda memberikan instruksi arah langkah (kiri, kanan, lurus) agar ia bisa mandiri mencapai loket Anda.",Menyuruhnya pulang dan menyarankan mendaftar secara *online* saja dari rumah.,"Segera keluar dari balik meja, menghampiri warga tersebut, menuntunnya ke kursi prioritas, dan memproses keperluannya langsung di tempat duduknya.",1,3,2,4,5,"Pelayanan Publik. Prinsip pelayanan prima adalah proaktif, inklusif, dan jemput bola bagi kaum rentan (difabel, lansia, ibu hamil). Opsi C adalah manifestasi nyata dari pelayanan inklusif tanpa dibatasi keterbatasan infrastruktur fisik kantor.",,,,,,
73,TKP,Jejaring Kerja,,"Membuka komunikasi dua arah, memberikan apresiasi atas pengalaman panjang mereka, lalu menguraikan visi inovasi berbasis data untuk disempurnakan bersama-sama.",Bersikap pasif dan membiarkan para senior yang menentukan arah inovasi agar mereka merasa dihargai.,Meminta atasan untuk mengganti formasi tim dengan staf-staf milenial yang lebih sepemikiran dan energik.,Menggunakan otoritas SK pengangkatan untuk memberikan teguran keras dan menegaskan bahwa di ruangan tersebut Andalah bosnya.,Mengerjakan proyek tersebut sendirian secara tertutup tanpa melibatkan mereka demi membuktikan kemampuan Anda.,5,2,3,1,4,"Jejaring Kerja & Profesionalisme. Kepemimpinan kolaboratif (*servant leadership*). Menghadapi senior yang skeptis membutuhkan kerendahan hati untuk menghargai pengalaman mereka, dipadukan dengan kompetensi analitis (berbasis data) untuk mendapatkan *respect* intelektual.",,,,,,
74,TKP,Sosial Budaya,,"Ikut bolos kerja dan menikmati festival tersebut, mumpung tidak ada yang mengawasi.",Mengunci pintu kantor dari luar dan menempel tulisan 'Tutup karena libur adat' tanpa berkoordinasi dengan atasan.,Pergi ke lokasi festival untuk memaksa rekan-rekan kerja Anda kembali ke kantor detik itu juga.,Merekam kondisi kantor yang kosong dan mengirimkannya ke pimpinan pusat agar semua pegawai lokal dipecat.,"Tetap berada di kantor, melayani warga yang mungkin masih datang semampu Anda, dan menyusun laporan evaluasi kronologis objektif kepada pimpinan terkait fenomena lokal ini untuk penyesuaian regulasi ke depan.",1,3,4,2,5,"Profesionalisme & Sosial Budaya. Disiplin diri dipertahankan (tetap di kantor melayani). Namun alih-alih sekadar marah/lapor buta, Anda melihat peluang kebijakan (*policy evaluation*) untuk mengakomodasi kearifan lokal tanpa melanggar birokrasi, yaitu melalui rekomendasi adaptasi regulasi ke pimpinan.",,,,,,
75,TKP,TIK,,Menggunakan uang pribadi Anda untuk membeli *license* antivirus kelas *enterprise* bagi server instansi.,"Melakukan *backup* (cadangan) data krusial secara lokal/mandiri sesuai standar enkripsi, dan membuat nota dinas formal kepada Pejabat Pembuat Komitmen (PPK) mengenai analisis risiko eskalasi kebocoran data nasional.",Mengunduh *software hacker* gratisan dan mencoba meretas server kantor sendiri untuk membuktikan bahwa celah itu nyata.,"Membiarkan saja, jika terjadi peretasan Anda sudah punya bukti bahwa Anda pernah memperingatkan mereka.",Membocorkan celah keamanan tersebut di forum *hacker* (*dark web*) agar diretas untuk memberi pelajaran kepada tim IT.,4,5,3,2,1,TIK & Profesionalisme. Analisis risiko dan eskalasi formal. Melakukan *backup* menunjukkan mitigasi *first-response* yang profesional. Nota dinas tertulis ke pemangku kebijakan (PPK) adalah jalur struktural yang benar setelah peringatan ke level teknis (IT) diabaikan.,,,,,,
76,TKP,Profesionalisme,,Diam tertunduk meratapi nasib tanpa melakukan intervensi apa pun hingga rapat selesai.,Langsung membantah atasan dengan suara keras di depan seluruh tamu agar nama baik Anda tidak hancur.,Berdiri dan berkata sarkastis bahwa atasan seharusnya memakai kacamata agar tidak salah baca.,"Menerima teguran tersebut dengan tenang tanpa berdebat di depan umum, lalu dengan sigap membawakan dokumen *hardcopy* yang benar kepada atasan sambil berbisik menunjukkan halaman yang tepat agar rapat bisa berlanjut.",Menangis dan berlari meninggalkan ruangan rapat karena merasa sangat dipermalukan.,3,2,4,5,1,Profesionalisme & Pengendalian Diri. *Save the face of your boss* di depan pihak luar adalah etika birokrasi mutlak. Memperbaiki keadaan secara taktis (menunjukkan data diam-diam) menyelamatkan wibawa institusi. Anda bisa melakukan klarifikasi reputasi secara empat mata setelah rapat selesai.,,,,,,
77,TKP,Anti-radikalisme,,Ikut mendukung opini tersebut agar terlihat '*edgy*' dan membaur dengan obrolan mereka.,"Menginterupsi diskusi secara elegan, menyatakan ketidaksetujuan secara tegas namun rasional bahwa pembunuhan warga sipil/terorisme bertentangan dengan semua ajaran agama dan konstitusi HAM, lalu meninggalkan *pantry*.",Merekam obrolan mereka secara sembunyi-sembunyi dan memeras mereka untuk memberikan Anda uang tutup mulut.,Diam saja dan pura-pura tidak dengar karena Anda takut dimusuhi di kantor.,"Mendekati mereka, membanting gelas, dan mengancam akan melaporkan mereka ke polisi jika tidak diam.",3,5,4,1,2,"Anti-radikalisme. Keberanian sipil (*civil courage*) diperlukan. Tidak diam membiarkan bibit radikalisme (glorifikasi teror) tumbuh, melainkan melakukan *counter-narrative* (narasi tandingan) yang rasional di *locus* kejadian, tanpa emosi destruktif atau tindakan ilegal.",,,,,,
78,TKP,Pelayanan Publik,,Mengusir ayah tersebut karena aturan sistem tidak bisa diganggu gugat oleh siapapun.,"Menjelaskan aturan 14 hari tersebut, lalu segera berinisiatif menghubungi Dinas Sosial daerah dan *supervisor* Anda untuk mencari skema darurat PBI (Penerima Bantuan Iuran) APBD atau jaminan Jamkesda yang berlaku hari itu juga.",Menggunakan *password* admin level tinggi secara ilegal (nge-hack) untuk mem-bypass sistem demi kemanusiaan.,Membantu ayah tersebut membuat kampanye penggalangan dana *online* (Kitabisa) dari ponsel Anda.,Menyuruhnya mencari rentenir atau pinjaman *online* demi keselamatan anaknya terlebih dahulu.,1,5,4,3,2,"Pelayanan Publik & Jejaring Kerja. Aturan teknis (14 hari) ada untuk keamanan sistem, mem-bypass secara ilegal (E) adalah pelanggaran berat. Memberikan solusi rujukan lintas instansi (Dinsos/Jamkesda APBD darurat) menunjukkan ASN yang responsif, empatik, dan kaya informasi solusi jejaring.",,,,,,
